Votes,Score,English_Name,Favourites_count,Popularity_ranking
731645,10,Death Note,3451642,2
727544,9,Death Note,3451642,2
567614,8,Death Note,3451642,2
269436,7,Death Note,3451642,2
89746,6,Death Note,3451642,2
36526,5,Death Note,3451642,2
13601,4,Death Note,3451642,2
4837,3,Death Note,3451642,2
2893,2,Death Note,3451642,2
4834,1,Death Note,3451642,2
674601,10,Shingeki no Kyojin,,1
714985,9,Shingeki no Kyojin,,1
639873,8,Shingeki no Kyojin,,1
293719,7,Shingeki no Kyojin,,1
89352,6,Shingeki no Kyojin,,1
37934,5,Shingeki no Kyojin,,1
14326,4,Shingeki no Kyojin,,1
5700,3,Shingeki no Kyojin,,1
3401,2,Shingeki no Kyojin,,1
7795,1,Shingeki no Kyojin,,1
909742,10,Fullmetal Alchemist: Brotherhood,204463,3
520085,9,Fullmetal Alchemist: Brotherhood,204463,3
264154,8,Fullmetal Alchemist: Brotherhood,204463,3
94230,7,Fullmetal Alchemist: Brotherhood,204463,3
27809,6,Fullmetal Alchemist: Brotherhood,204463,3
13083,5,Fullmetal Alchemist: Brotherhood,204463,3
4673,4,Fullmetal Alchemist: Brotherhood,204463,3
2244,3,Fullmetal Alchemist: Brotherhood,204463,3
2776,2,Fullmetal Alchemist: Brotherhood,204463,3
30744,1,Fullmetal Alchemist: Brotherhood,204463,3
283334,10,Sword Art Online,64441,5
281890,9,Sword Art Online,64441,5
383420,8,Sword Art Online,64441,5
394809,7,Sword Art Online,64441,5
246396,6,Sword Art Online,64441,5
160279,5,Sword Art Online,64441,5
102838,4,Sword Art Online,64441,5
54826,3,Sword Art Online,64441,5
30945,2,Sword Art Online,64441,5
28657,1,Sword Art Online,64441,5
446809,10,One Punch Man,2833602,4
613055,9,One Punch Man,2833602,4
571826,8,One Punch Man,2833602,4
248001,7,One Punch Man,2833602,4
66799,6,One Punch Man,2833602,4
24607,5,One Punch Man,2833602,4
7676,4,One Punch Man,2833602,4
3035,3,One Punch Man,2833602,4
1849,2,One Punch Man,2833602,4
3355,1,One Punch Man,2833602,4
238179,10,Boku no Hero Academia,,6
392840,9,Boku no Hero Academia,,6
579039,8,Boku no Hero Academia,,6
409007,7,Boku no Hero Academia,,6
136781,6,Boku no Hero Academia,,6
54090,5,Boku no Hero Academia,,6
16284,4,Boku no Hero Academia,,6
6581,3,Boku no Hero Academia,,6
3444,2,Boku no Hero Academia,,6
6104,1,Boku no Hero Academia,,6
246035,10,Tokyo Ghoul,2519614,7
326603,9,Tokyo Ghoul,2519614,7
473270,8,Tokyo Ghoul,2519614,7
359805,7,Tokyo Ghoul,2519614,7
151405,6,Tokyo Ghoul,2519614,7
68264,5,Tokyo Ghoul,2519614,7
32389,4,Tokyo Ghoul,2519614,7
13364,3,Tokyo Ghoul,2519614,7
6785,2,Tokyo Ghoul,2519614,7
6314,1,Tokyo Ghoul,2519614,7
315388,10,Naruto,70638,8
331171,9,Naruto,70638,8
482001,8,Naruto,70638,8
387539,7,Naruto,70638,8
142520,6,Naruto,70638,8
59340,5,Naruto,70638,8
19297,4,Naruto,70638,8
7572,3,Naruto,70638,8
4409,2,Naruto,70638,8
7136,1,Naruto,70638,8
668364,10,Kimi no Na wa.,,11
473742,9,Kimi no Na wa.,,11
307361,8,Kimi no Na wa.,,11
137752,7,Kimi no Na wa.,,11
48185,6,Kimi no Na wa.,,11
20007,5,Kimi no Na wa.,,11
8166,4,Kimi no Na wa.,,11
3335,3,Kimi no Na wa.,,11
1698,2,Kimi no Na wa.,,11
4986,1,Kimi no Na wa.,,11
639667,10,Hunter x Hunter (2011),,10
453476,9,Hunter x Hunter (2011),,10
256244,8,Hunter x Hunter (2011),,10
101681,7,Hunter x Hunter (2011),,10
29651,6,Hunter x Hunter (2011),,10
12642,5,Hunter x Hunter (2011),,10
4656,4,Hunter x Hunter (2011),,10
1948,3,Hunter x Hunter (2011),,10
1478,2,Hunter x Hunter (2011),,10
5947,1,Hunter x Hunter (2011),,10
426309,10,Kimetsu no Yaiba,,9
535286,9,Kimetsu no Yaiba,,9
471881,8,Kimetsu no Yaiba,,9
198319,7,Kimetsu no Yaiba,,9
56577,6,Kimetsu no Yaiba,,9
23217,5,Kimetsu no Yaiba,,9
7834,4,Kimetsu no Yaiba,,9
3126,3,Kimetsu no Yaiba,,9
1645,2,Kimetsu no Yaiba,,9
4937,1,Kimetsu no Yaiba,,9
582257,10,Steins;Gate,,13
349675,9,Steins;Gate,,13
181299,8,Steins;Gate,,13
74872,7,Steins;Gate,,13
27831,6,Steins;Gate,,13
14645,5,Steins;Gate,,13
6998,4,Steins;Gate,,13
3233,3,Steins;Gate,,13
2485,2,Steins;Gate,,13
7756,1,Steins;Gate,,13
387362,10,Shingeki no Kyojin Season 2,,12
479652,9,Shingeki no Kyojin Season 2,,12
468574,8,Shingeki no Kyojin Season 2,,12
198934,7,Shingeki no Kyojin Season 2,,12
54180,6,Shingeki no Kyojin Season 2,,12
17629,5,Shingeki no Kyojin Season 2,,12
6942,4,Shingeki no Kyojin Season 2,,12
2351,3,Shingeki no Kyojin Season 2,,12
1231,2,Shingeki no Kyojin Season 2,,12
3293,1,Shingeki no Kyojin Season 2,,12
227379,10,Boku no Hero Academia 2nd Season,,14
401422,9,Boku no Hero Academia 2nd Season,,14
506536,8,Boku no Hero Academia 2nd Season,,14
277872,7,Boku no Hero Academia 2nd Season,,14
83893,6,Boku no Hero Academia 2nd Season,,14
30200,5,Boku no Hero Academia 2nd Season,,14
8787,4,Boku no Hero Academia 2nd Season,,14
3462,3,Boku no Hero Academia 2nd Season,,14
1750,2,Boku no Hero Academia 2nd Season,,14
3571,1,Boku no Hero Academia 2nd Season,,14
262873,10,No Game No Life,,15
336952,9,No Game No Life,,15
389444,8,No Game No Life,,15
245689,7,No Game No Life,,15
95148,6,No Game No Life,,15
41858,5,No Game No Life,,15
20540,4,No Game No Life,,15
9041,3,No Game No Life,,15
4884,2,No Game No Life,,15
5252,1,No Game No Life,,15
376112,10,Naruto: Shippuuden,,16
307884,9,Naruto: Shippuuden,,16
335979,8,Naruto: Shippuuden,,16
237815,7,Naruto: Shippuuden,,16
100144,6,Naruto: Shippuuden,,16
46519,5,Naruto: Shippuuden,,16
20539,4,Naruto: Shippuuden,,16
8510,3,Naruto: Shippuuden,,16
4402,2,Naruto: Shippuuden,,16
5987,1,Naruto: Shippuuden,,16
403168,10,Code Geass: Hangyaku no Lelouch,,17
392222,9,Code Geass: Hangyaku no Lelouch,,17
274316,8,Code Geass: Hangyaku no Lelouch,,17
118734,7,Code Geass: Hangyaku no Lelouch,,17
40278,6,Code Geass: Hangyaku no Lelouch,,17
18361,5,Code Geass: Hangyaku no Lelouch,,17
8941,4,Code Geass: Hangyaku no Lelouch,,17
3906,3,Code Geass: Hangyaku no Lelouch,,17
2107,2,Code Geass: Hangyaku no Lelouch,,17
3412,1,Code Geass: Hangyaku no Lelouch,,17
217831,10,Toradora!,,20
305088,9,Toradora!,,20
352792,8,Toradora!,,20
222145,7,Toradora!,,20
86511,6,Toradora!,,20
39036,5,Toradora!,,20
17415,4,Toradora!,,20
7257,3,Toradora!,,20
4169,2,Toradora!,,20
4843,1,Toradora!,,20
139223,10,Noragami,,22
243958,9,Noragami,,22
396364,8,Noragami,,22
262430,7,Noragami,,22
79817,6,Noragami,,22
28069,5,Noragami,,22
7743,4,Noragami,,22
2487,3,Noragami,,22
1130,2,Noragami,,22
1284,1,Noragami,,22
224178,10,Angel Beats!,,27
279109,9,Angel Beats!,,27
320094,8,Angel Beats!,,27
212241,7,Angel Beats!,,27
87318,6,Angel Beats!,,27
39990,5,Angel Beats!,,27
18167,4,Angel Beats!,,27
7523,3,Angel Beats!,,27
3534,2,Angel Beats!,,27
3221,1,Angel Beats!,,27
240544,10,Re:Zero kara Hajimeru Isekai Seikatsu,,23
345352,9,Re:Zero kara Hajimeru Isekai Seikatsu,,23
367595,8,Re:Zero kara Hajimeru Isekai Seikatsu,,23
184453,7,Re:Zero kara Hajimeru Isekai Seikatsu,,23
65645,6,Re:Zero kara Hajimeru Isekai Seikatsu,,23
28683,5,Re:Zero kara Hajimeru Isekai Seikatsu,,23
15492,4,Re:Zero kara Hajimeru Isekai Seikatsu,,23
6816,3,Re:Zero kara Hajimeru Isekai Seikatsu,,23
3851,2,Re:Zero kara Hajimeru Isekai Seikatsu,,23
4837,1,Re:Zero kara Hajimeru Isekai Seikatsu,,23
396477,10,Shigatsu wa Kimi no Uso,,21
340198,9,Shigatsu wa Kimi no Uso,,21
257520,8,Shigatsu wa Kimi no Uso,,21
123860,7,Shigatsu wa Kimi no Uso,,21
46324,6,Shigatsu wa Kimi no Uso,,21
21213,5,Shigatsu wa Kimi no Uso,,21
10284,4,Shigatsu wa Kimi no Uso,,21
4286,3,Shigatsu wa Kimi no Uso,,21
2382,2,Shigatsu wa Kimi no Uso,,21
3757,1,Shigatsu wa Kimi no Uso,,21
562277,10,Koe no Katachi,,18
438185,9,Koe no Katachi,,18
244782,8,Koe no Katachi,,18
98378,7,Koe no Katachi,,18
30652,6,Koe no Katachi,,18
11409,5,Koe no Katachi,,18
4903,4,Koe no Katachi,,18
2036,3,Koe no Katachi,,18
1141,2,Koe no Katachi,,18
2874,1,Koe no Katachi,,18
184000,10,Boku no Hero Academia 3rd Season,,24
313189,9,Boku no Hero Academia 3rd Season,,24
409871,8,Boku no Hero Academia 3rd Season,,24
241989,7,Boku no Hero Academia 3rd Season,,24
78002,6,Boku no Hero Academia 3rd Season,,24
29401,5,Boku no Hero Academia 3rd Season,,24
9394,4,Boku no Hero Academia 3rd Season,,24
3480,3,Boku no Hero Academia 3rd Season,,24
1679,2,Boku no Hero Academia 3rd Season,,24
3087,1,Boku no Hero Academia 3rd Season,,24
139653,10,Mirai Nikki (TV),,32
193033,9,Mirai Nikki (TV),,32
270830,8,Mirai Nikki (TV),,32
241005,7,Mirai Nikki (TV),,32
129569,6,Mirai Nikki (TV),,32
65505,5,Mirai Nikki (TV),,32
42214,4,Mirai Nikki (TV),,32
21370,3,Mirai Nikki (TV),,32
12353,2,Mirai Nikki (TV),,32
10015,1,Mirai Nikki (TV),,32
355773,10,Shingeki no Kyojin Season 3,,19
441522,9,Shingeki no Kyojin Season 3,,19
373945,8,Shingeki no Kyojin Season 3,,19
137139,7,Shingeki no Kyojin Season 3,,19
34866,6,Shingeki no Kyojin Season 3,,19
11049,5,Shingeki no Kyojin Season 3,,19
4441,4,Shingeki no Kyojin Season 3,,19
1720,3,Shingeki no Kyojin Season 3,,19
848,2,Shingeki no Kyojin Season 3,,19
2992,1,Shingeki no Kyojin Season 3,,19
468333,10,One Piece,170949,25
232196,9,One Piece,170949,25
186995,8,One Piece,170949,25
109308,7,One Piece,170949,25
44605,6,One Piece,170949,25
23749,5,One Piece,170949,25
10161,4,One Piece,170949,25
4703,3,One Piece,170949,25
3385,2,One Piece,170949,25
9648,1,One Piece,170949,25
142148,10,Nanatsu no Taizai,,30
229804,9,Nanatsu no Taizai,,30
355878,8,Nanatsu no Taizai,,30
274988,7,Nanatsu no Taizai,,30
111670,6,Nanatsu no Taizai,,30
52917,5,Nanatsu no Taizai,,30
26052,4,Nanatsu no Taizai,,30
12421,3,Nanatsu no Taizai,,30
6655,2,Nanatsu no Taizai,,30
7370,1,Nanatsu no Taizai,,30
134650,10,Akame ga Kill!,26450,29
196116,9,Akame ga Kill!,26450,29
302616,8,Akame ga Kill!,26450,29
271271,7,Akame ga Kill!,26450,29
135174,6,Akame ga Kill!,26450,29
68166,5,Akame ga Kill!,26450,29
40217,4,Akame ga Kill!,26450,29
17443,3,Akame ga Kill!,26450,29
8702,2,Akame ga Kill!,26450,29
5939,1,Akame ga Kill!,26450,29
250120,10,Boku dake ga Inai Machi,,31
345997,9,Boku dake ga Inai Machi,,31
336278,8,Boku dake ga Inai Machi,,31
176983,7,Boku dake ga Inai Machi,,31
61634,6,Boku dake ga Inai Machi,,31
22661,5,Boku dake ga Inai Machi,,31
10886,4,Boku dake ga Inai Machi,,31
4592,3,Boku dake ga Inai Machi,,31
2002,2,Boku dake ga Inai Machi,,31
2414,1,Boku dake ga Inai Machi,,31
100198,10,Sword Art Online II,,33
122191,9,Sword Art Online II,,33
211808,8,Sword Art Online II,,33
283568,7,Sword Art Online II,,33
201714,6,Sword Art Online II,,33
127755,5,Sword Art Online II,,33
81928,4,Sword Art Online II,,33
44171,3,Sword Art Online II,,33
26974,2,Sword Art Online II,,33
20596,1,Sword Art Online II,,33
92062,10,Ao no Exorcist,,36
156176,9,Ao no Exorcist,,36
298728,8,Ao no Exorcist,,36
306467,7,Ao no Exorcist,,36
130065,6,Ao no Exorcist,,36
53691,5,Ao no Exorcist,,36
17930,4,Ao no Exorcist,,36
6007,3,Ao no Exorcist,,36
2463,2,Ao no Exorcist,,36
1921,1,Ao no Exorcist,,36
583850,10,Shingeki no Kyojin Season 3 Part 2,,28
428635,9,Shingeki no Kyojin Season 3 Part 2,,28
209926,8,Shingeki no Kyojin Season 3 Part 2,,28
66303,7,Shingeki no Kyojin Season 3 Part 2,,28
17235,6,Shingeki no Kyojin Season 3 Part 2,,28
6201,5,Shingeki no Kyojin Season 3 Part 2,,28
2429,4,Shingeki no Kyojin Season 3 Part 2,,28
1233,3,Shingeki no Kyojin Season 3 Part 2,,28
885,2,Shingeki no Kyojin Season 3 Part 2,,28
10528,1,Shingeki no Kyojin Season 3 Part 2,,28
150484,10,Ansatsu Kyoushitsu,,34
241807,9,Ansatsu Kyoushitsu,,34
350522,8,Ansatsu Kyoushitsu,,34
202338,7,Ansatsu Kyoushitsu,,34
62433,6,Ansatsu Kyoushitsu,,34
24080,5,Ansatsu Kyoushitsu,,34
8691,4,Ansatsu Kyoushitsu,,34
3167,3,Ansatsu Kyoushitsu,,34
1519,2,Ansatsu Kyoushitsu,,34
1611,1,Ansatsu Kyoushitsu,,34
193982,10,Mob Psycho 100,39502,35
359927,9,Mob Psycho 100,39502,35
354876,8,Mob Psycho 100,39502,35
126806,7,Mob Psycho 100,39502,35
29167,6,Mob Psycho 100,39502,35
9890,5,Mob Psycho 100,39502,35
3528,4,Mob Psycho 100,39502,35
1326,3,Mob Psycho 100,39502,35
742,2,Mob Psycho 100,39502,35
1438,1,Mob Psycho 100,39502,35
171955,10,Kono Subarashii Sekai ni Shukufuku wo!,,37
281824,9,Kono Subarashii Sekai ni Shukufuku wo!,,37
373247,8,Kono Subarashii Sekai ni Shukufuku wo!,,37
196050,7,Kono Subarashii Sekai ni Shukufuku wo!,,37
62946,6,Kono Subarashii Sekai ni Shukufuku wo!,,37
24204,5,Kono Subarashii Sekai ni Shukufuku wo!,,37
10216,4,Kono Subarashii Sekai ni Shukufuku wo!,,37
4102,3,Kono Subarashii Sekai ni Shukufuku wo!,,37
2351,2,Kono Subarashii Sekai ni Shukufuku wo!,,37
2725,1,Kono Subarashii Sekai ni Shukufuku wo!,,37
230768,10,Haikyuu!!,,38
311740,9,Haikyuu!!,,38
327228,8,Haikyuu!!,,38
144759,7,Haikyuu!!,,38
38146,6,Haikyuu!!,,38
15535,5,Haikyuu!!,,38
4887,4,Haikyuu!!,,38
1998,3,Haikyuu!!,,38
1186,2,Haikyuu!!,,38
2545,1,Haikyuu!!,,38
