Votes,Score,English_Name,Favourites_count,Popularity_ranking
746253,10,Death Note,3526443,2
743047,9,Death Note,3526443,2
580554,8,Death Note,3526443,2
275168,7,Death Note,3526443,2
91619,6,Death Note,3526443,2
37229,5,Death Note,3526443,2
13946,4,Death Note,3526443,2
4948,3,Death Note,3526443,2
2957,2,Death Note,3526443,2
4943,1,Death Note,3526443,2
689624,10,Shingeki no Kyojin,,1
730058,9,Shingeki no Kyojin,,1
654041,8,Shingeki no Kyojin,,1
299805,7,Shingeki no Kyojin,,1
91115,6,Shingeki no Kyojin,,1
38582,5,Shingeki no Kyojin,,1
14612,4,Shingeki no Kyojin,,1
5819,3,Shingeki no Kyojin,,1
3477,2,Shingeki no Kyojin,,1
8052,1,Shingeki no Kyojin,,1
930570,10,Fullmetal Alchemist: Brotherhood,209114,3
530662,9,Fullmetal Alchemist: Brotherhood,209114,3
269821,8,Fullmetal Alchemist: Brotherhood,209114,3
96508,7,Fullmetal Alchemist: Brotherhood,209114,3
28570,6,Fullmetal Alchemist: Brotherhood,209114,3
13588,5,Fullmetal Alchemist: Brotherhood,209114,3
4891,4,Fullmetal Alchemist: Brotherhood,209114,3
2369,3,Fullmetal Alchemist: Brotherhood,209114,3
2948,2,Fullmetal Alchemist: Brotherhood,209114,3
37919,1,Fullmetal Alchemist: Brotherhood,209114,3
287249,10,Sword Art Online,65242,5
285962,9,Sword Art Online,65242,5
390160,8,Sword Art Online,65242,5
402319,7,Sword Art Online,65242,5
250646,6,Sword Art Online,65242,5
162979,5,Sword Art Online,65242,5
104301,4,Sword Art Online,65242,5
55461,3,Sword Art Online,65242,5
31283,2,Sword Art Online,65242,5
29045,1,Sword Art Online,65242,5
455522,10,One Punch Man,2898892,4
626356,9,One Punch Man,2898892,4
586193,8,One Punch Man,2898892,4
254157,7,One Punch Man,2898892,4
68300,6,One Punch Man,2898892,4
25111,5,One Punch Man,2898892,4
7839,4,One Punch Man,2898892,4
3099,3,One Punch Man,2898892,4
1882,2,One Punch Man,2898892,4
3423,1,One Punch Man,2898892,4
241190,10,Boku no Hero Academia,,6
397746,9,Boku no Hero Academia,,6
591004,8,Boku no Hero Academia,,6
421413,7,Boku no Hero Academia,,6
141869,6,Boku no Hero Academia,,6
56460,5,Boku no Hero Academia,,6
17082,4,Boku no Hero Academia,,6
6937,3,Boku no Hero Academia,,6
3574,2,Boku no Hero Academia,,6
6430,1,Boku no Hero Academia,,6
250681,10,Tokyo Ghoul,2571514,9
332355,9,Tokyo Ghoul,2571514,9
483060,8,Tokyo Ghoul,2571514,9
367923,7,Tokyo Ghoul,2571514,9
154590,6,Tokyo Ghoul,2571514,9
69689,5,Tokyo Ghoul,2571514,9
33010,4,Tokyo Ghoul,2571514,9
13599,3,Tokyo Ghoul,2571514,9
6917,2,Tokyo Ghoul,2571514,9
6479,1,Tokyo Ghoul,2571514,9
323854,10,Naruto,72445,8
338918,9,Naruto,72445,8
493165,8,Naruto,72445,8
395681,7,Naruto,72445,8
145369,6,Naruto,72445,8
60384,5,Naruto,72445,8
19708,4,Naruto,72445,8
7715,3,Naruto,72445,8
4487,2,Naruto,72445,8
7305,1,Naruto,72445,8
680942,10,Kimi no Na wa.,,11
484893,9,Kimi no Na wa.,,11
316321,8,Kimi no Na wa.,,11
142067,7,Kimi no Na wa.,,11
49746,6,Kimi no Na wa.,,11
20709,5,Kimi no Na wa.,,11
8436,4,Kimi no Na wa.,,11
3446,3,Kimi no Na wa.,,11
1765,2,Kimi no Na wa.,,11
5076,1,Kimi no Na wa.,,11
658155,10,Hunter x Hunter (2011),,10
467482,9,Hunter x Hunter (2011),,10
263967,8,Hunter x Hunter (2011),,10
104654,7,Hunter x Hunter (2011),,10
30619,6,Hunter x Hunter (2011),,10
13029,5,Hunter x Hunter (2011),,10
4798,4,Hunter x Hunter (2011),,10
1998,3,Hunter x Hunter (2011),,10
1517,2,Hunter x Hunter (2011),,10
6133,1,Hunter x Hunter (2011),,10
438983,10,Kimetsu no Yaiba,,7
551672,9,Kimetsu no Yaiba,,7
490779,8,Kimetsu no Yaiba,,7
209368,7,Kimetsu no Yaiba,,7
60133,6,Kimetsu no Yaiba,,7
24701,5,Kimetsu no Yaiba,,7
8359,4,Kimetsu no Yaiba,,7
3289,3,Kimetsu no Yaiba,,7
1753,2,Kimetsu no Yaiba,,7
5193,1,Kimetsu no Yaiba,,7
593130,10,Steins;Gate,,13
356540,9,Steins;Gate,,13
185128,8,Steins;Gate,,13
76580,7,Steins;Gate,,13
28426,6,Steins;Gate,,13
14953,5,Steins;Gate,,13
7182,4,Steins;Gate,,13
3311,3,Steins;Gate,,13
2519,2,Steins;Gate,,13
8242,1,Steins;Gate,,13
397487,10,Shingeki no Kyojin Season 2,,12
491815,9,Shingeki no Kyojin Season 2,,12
481247,8,Shingeki no Kyojin Season 2,,12
204210,7,Shingeki no Kyojin Season 2,,12
55592,6,Shingeki no Kyojin Season 2,,12
18092,5,Shingeki no Kyojin Season 2,,12
7117,4,Shingeki no Kyojin Season 2,,12
2417,3,Shingeki no Kyojin Season 2,,12
1261,2,Shingeki no Kyojin Season 2,,12
3416,1,Shingeki no Kyojin Season 2,,12
229679,10,Boku no Hero Academia 2nd Season,,14
406503,9,Boku no Hero Academia 2nd Season,,14
