Votes,Score,English_Name,Favourites_count,Popularity_ranking
750456,10,Death Note,3547682,2
747181,9,Death Note,3547682,2
583799,8,Death Note,3547682,2
276846,7,Death Note,3547682,2
92149,6,Death Note,3547682,2
37457,5,Death Note,3547682,2
14020,4,Death Note,3547682,2
4975,3,Death Note,3547682,2
2985,2,Death Note,3547682,2
4972,1,Death Note,3547682,2
693886,10,Shingeki no Kyojin,,1
734007,9,Shingeki no Kyojin,,1
657584,8,Shingeki no Kyojin,,1
301377,7,Shingeki no Kyojin,,1
91538,6,Shingeki no Kyojin,,1
38747,5,Shingeki no Kyojin,,1
14700,4,Shingeki no Kyojin,,1
5853,3,Shingeki no Kyojin,,1
3488,2,Shingeki no Kyojin,,1
8106,1,Shingeki no Kyojin,,1
935699,10,Fullmetal Alchemist: Brotherhood,210174,3
533456,9,Fullmetal Alchemist: Brotherhood,210174,3
271357,8,Fullmetal Alchemist: Brotherhood,210174,3
97147,7,Fullmetal Alchemist: Brotherhood,210174,3
28794,6,Fullmetal Alchemist: Brotherhood,210174,3
13690,5,Fullmetal Alchemist: Brotherhood,210174,3
4937,4,Fullmetal Alchemist: Brotherhood,210174,3
2397,3,Fullmetal Alchemist: Brotherhood,210174,3
2975,2,Fullmetal Alchemist: Brotherhood,210174,3
38801,1,Fullmetal Alchemist: Brotherhood,210174,3
288388,10,Sword Art Online,65507,5
287005,9,Sword Art Online,65507,5
392096,8,Sword Art Online,65507,5
404412,7,Sword Art Online,65507,5
251784,6,Sword Art Online,65507,5
163600,5,Sword Art Online,65507,5
104632,4,Sword Art Online,65507,5
55603,3,Sword Art Online,65507,5
31363,2,Sword Art Online,65507,5
29145,1,Sword Art Online,65507,5
457775,10,One Punch Man,2916370,4
629566,9,One Punch Man,2916370,4
589936,8,One Punch Man,2916370,4
255797,7,One Punch Man,2916370,4
68711,6,One Punch Man,2916370,4
25265,5,One Punch Man,2916370,4
7876,4,One Punch Man,2916370,4
3108,3,One Punch Man,2916370,4
1889,2,One Punch Man,2916370,4
3435,1,One Punch Man,2916370,4
242053,10,Boku no Hero Academia,,6
399067,9,Boku no Hero Academia,,6
594025,8,Boku no Hero Academia,,6
424621,7,Boku no Hero Academia,,6
143286,6,Boku no Hero Academia,,6
57061,5,Boku no Hero Academia,,6
17267,4,Boku no Hero Academia,,6
7052,3,Boku no Hero Academia,,6
3620,2,Boku no Hero Academia,,6
6500,1,Boku no Hero Academia,,6
251921,10,Tokyo Ghoul,2585520,9
333810,9,Tokyo Ghoul,2585520,9
485606,8,Tokyo Ghoul,2585520,9
369885,7,Tokyo Ghoul,2585520,9
155495,6,Tokyo Ghoul,2585520,9
70051,5,Tokyo Ghoul,2585520,9
33171,4,Tokyo Ghoul,2585520,9
13665,3,Tokyo Ghoul,2585520,9
6961,2,Tokyo Ghoul,2585520,9
6504,1,Tokyo Ghoul,2585520,9
326256,10,Naruto,73025,8
341110,9,Naruto,73025,8
496120,8,Naruto,73025,8
397695,7,Naruto,73025,8
146056,6,Naruto,73025,8
60630,5,Naruto,73025,8
19795,4,Naruto,73025,8
7734,3,Naruto,73025,8
4508,2,Naruto,73025,8
7333,1,Naruto,73025,8
684356,10,Kimi no Na wa.,,11
487901,9,Kimi no Na wa.,,11
318626,8,Kimi no Na wa.,,11
143193,7,Kimi no Na wa.,,11
50209,6,Kimi no Na wa.,,11
20876,5,Kimi no Na wa.,,11
8480,4,Kimi no Na wa.,,11
3469,3,Kimi no Na wa.,,11
1786,2,Kimi no Na wa.,,11
5094,1,Kimi no Na wa.,,11
663298,10,Hunter x Hunter (2011),,10
471007,9,Hunter x Hunter (2011),,10
266187,8,Hunter x Hunter (2011),,10
105470,7,Hunter x Hunter (2011),,10
30879,6,Hunter x Hunter (2011),,10
13147,5,Hunter x Hunter (2011),,10
4839,4,Hunter x Hunter (2011),,10
2009,3,Hunter x Hunter (2011),,10
1527,2,Hunter x Hunter (2011),,10
6165,1,Hunter x Hunter (2011),,10
442474,10,Kimetsu no Yaiba,,7
555840,9,Kimetsu no Yaiba,,7
495768,8,Kimetsu no Yaiba,,7
212158,7,Kimetsu no Yaiba,,7
61079,6,Kimetsu no Yaiba,,7
25084,5,Kimetsu no Yaiba,,7
8481,4,Kimetsu no Yaiba,,7
3315,3,Kimetsu no Yaiba,,7
1784,2,Kimetsu no Yaiba,,7
5249,1,Kimetsu no Yaiba,,7
596206,10,Steins;Gate,,13
358305,9,Steins;Gate,,13
186183,8,Steins;Gate,,13
77014,7,Steins;Gate,,13
28606,6,Steins;Gate,,13
15050,5,Steins;Gate,,13
7216,4,Steins;Gate,,13
3345,3,Steins;Gate,,13
2525,2,Steins;Gate,,13
8652,1,Steins;Gate,,13
400343,10,Shingeki no Kyojin Season 2,,12
494933,9,Shingeki no Kyojin Season 2,,12
484462,8,Shingeki no Kyojin Season 2,,12
205498,7,Shingeki no Kyojin Season 2,,12
55945,6,Shingeki no Kyojin Season 2,,12
18196,5,Shingeki no Kyojin Season 2,,12
7166,4,Shingeki no Kyojin Season 2,,12
2431,3,Shingeki no Kyojin Season 2,,12
1271,2,Shingeki no Kyojin Season 2,,12
3439,1,Shingeki no Kyojin Season 2,,12
230433,10,Boku no Hero Academia 2nd Season,,14
407762,9,Boku no Hero Academia 2nd Season,,14
521143,8,Boku no Hero Academia 2nd Season,,14
289384,7,Boku no Hero Academia 2nd Season,,14
88019,6,Boku no Hero Academia 2nd Season,,14
31989,5,Boku no Hero Academia 2nd Season,,14
9335,4,Boku no Hero Academia 2nd Season,,14
3705,3,Boku no Hero Academia 2nd Season,,14
1847,2,Boku no Hero Academia 2nd Season,,14
3786,1,Boku no Hero Academia 2nd Season,,14
266853,10,No Game No Life,,16
341899,9,No Game No Life,,16
397415,8,No Game No Life,,16
251618,7,No Game No Life,,16
97883,6,No Game No Life,,16
43072,5,No Game No Life,,16
21251,4,No Game No Life,,16
9385,3,No Game No Life,,16
5128,2,No Game No Life,,16
5493,1,No Game No Life,,16
390821,10,Naruto: Shippuuden,,15
318557,9,Naruto: Shippuuden,,15
347677,8,Naruto: Shippuuden,,15
245378,7,Naruto: Shippuuden,,15
102742,6,Naruto: Shippuuden,,15
47759,5,Naruto: Shippuuden,,15
21006,4,Naruto: Shippuuden,,15
8720,3,Naruto: Shippuuden,,15
4535,2,Naruto: Shippuuden,,15
6207,1,Naruto: Shippuuden,,15
412733,10,Code Geass: Hangyaku no Lelouch,,19
401470,9,Code Geass: Hangyaku no Lelouch,,19
281449,8,Code Geass: Hangyaku no Lelouch,,19
121811,7,Code Geass: Hangyaku no Lelouch,,19
41215,6,Code Geass: Hangyaku no Lelouch,,19
18752,5,Code Geass: Hangyaku no Lelouch,,19
9158,4,Code Geass: Hangyaku no Lelouch,,19
4006,3,Code Geass: Hangyaku no Lelouch,,19
2166,2,Code Geass: Hangyaku no Lelouch,,19
3626,1,Code Geass: Hangyaku no Lelouch,,19
221985,10,Toradora!,,20
310202,9,Toradora!,,20
360480,8,Toradora!,,20
228228,7,Toradora!,,20
89202,6,Toradora!,,20
40456,5,Toradora!,,20
18226,4,Toradora!,,20
7569,3,Toradora!,,20
4357,2,Toradora!,,20
5134,1,Toradora!,,20
141989,10,Noragami,,24
247954,9,Noragami,,24
404662,8,Noragami,,24
269296,7,Noragami,,24
81942,6,Noragami,,24
28904,5,Noragami,,24
7929,4,Noragami,,24
2573,3,Noragami,,24
1164,2,Noragami,,24
1334,1,Noragami,,24
226862,10,Angel Beats!,,28
282705,9,Angel Beats!,,28
325616,8,Angel Beats!,,28
216690,7,Angel Beats!,,28
89323,6,Angel Beats!,,28
40936,5,Angel Beats!,,28
18565,4,Angel Beats!,,28
7686,3,Angel Beats!,,28
3657,2,Angel Beats!,,28
3293,1,Angel Beats!,,28
245673,10,Re:Zero kara Hajimeru Isekai Seikatsu,,25
352756,9,Re:Zero kara Hajimeru Isekai Seikatsu,,25
377600,8,Re:Zero kara Hajimeru Isekai Seikatsu,,25
190017,7,Re:Zero kara Hajimeru Isekai Seikatsu,,25
67747,6,Re:Zero kara Hajimeru Isekai Seikatsu,,25
29604,5,Re:Zero kara Hajimeru Isekai Seikatsu,,25
15968,4,Re:Zero kara Hajimeru Isekai Seikatsu,,25
7010,3,Re:Zero kara Hajimeru Isekai Seikatsu,,25
3996,2,Re:Zero kara Hajimeru Isekai Seikatsu,,25
5045,1,Re:Zero kara Hajimeru Isekai Seikatsu,,25
405148,10,Shigatsu wa Kimi no Uso,,22
348336,9,Shigatsu wa Kimi no Uso,,22
265202,8,Shigatsu wa Kimi no Uso,,22
127785,7,Shigatsu wa Kimi no Uso,,22
47856,6,Shigatsu wa Kimi no Uso,,22
21859,5,Shigatsu wa Kimi no Uso,,22
10620,4,Shigatsu wa Kimi no Uso,,22
4396,3,Shigatsu wa Kimi no Uso,,22
2475,2,Shigatsu wa Kimi no Uso,,22
3919,1,Shigatsu wa Kimi no Uso,,22
579433,10,Koe no Katachi,,18
452349,9,Koe no Katachi,,18
254770,8,Koe no Katachi,,18
102697,7,Koe no Katachi,,18
32003,6,Koe no Katachi,,18
11977,5,Koe no Katachi,,18
5175,4,Koe no Katachi,,18
2130,3,Koe no Katachi,,18
1196,2,Koe no Katachi,,18
3060,1,Koe no Katachi,,18
187191,10,Boku no Hero Academia 3rd Season,,26
318884,9,Boku no Hero Academia 3rd Season,,26
422865,8,Boku no Hero Academia 3rd Season,,26
252378,7,Boku no Hero Academia 3rd Season,,26
82060,6,Boku no Hero Academia 3rd Season,,26
31181,5,Boku no Hero Academia 3rd Season,,26
9995,4,Boku no Hero Academia 3rd Season,,26
3699,3,Boku no Hero Academia 3rd Season,,26
1798,2,Boku no Hero Academia 3rd Season,,26
3267,1,Boku no Hero Academia 3rd Season,,26
141264,10,Mirai Nikki (TV),,32
195179,9,Mirai Nikki (TV),,32
275175,8,Mirai Nikki (TV),,32
246150,7,Mirai Nikki (TV),,32
132558,6,Mirai Nikki (TV),,32
67081,5,Mirai Nikki (TV),,32
43137,4,Mirai Nikki (TV),,32
21857,3,Mirai Nikki (TV),,32
12642,2,Mirai Nikki (TV),,32
10278,1,Mirai Nikki (TV),,32
369491,10,Shingeki no Kyojin Season 3,,17
457216,9,Shingeki no Kyojin Season 3,,17
389172,8,Shingeki no Kyojin Season 3,,17
143359,7,Shingeki no Kyojin Season 3,,17
36632,6,Shingeki no Kyojin Season 3,,17
11618,5,Shingeki no Kyojin Season 3,,17
4677,4,Shingeki no Kyojin Season 3,,17
1790,3,Shingeki no Kyojin Season 3,,17
898,2,Shingeki no Kyojin Season 3,,17
3157,1,Shingeki no Kyojin Season 3,,17
498963,10,One Piece,182817,23
241973,9,One Piece,182817,23
193351,8,One Piece,182817,23
112431,7,One Piece,182817,23
45827,6,One Piece,182817,23
24476,5,One Piece,182817,23
10461,4,One Piece,182817,23
4854,3,One Piece,182817,23
3499,2,One Piece,182817,23
10391,1,One Piece,182817,23
144042,10,Nanatsu no Taizai,,31
232572,9,Nanatsu no Taizai,,31
363252,8,Nanatsu no Taizai,,31
283128,7,Nanatsu no Taizai,,31
115721,6,Nanatsu no Taizai,,31
55076,5,Nanatsu no Taizai,,31
27110,4,Nanatsu no Taizai,,31
12974,3,Nanatsu no Taizai,,31
6968,2,Nanatsu no Taizai,,31
7746,1,Nanatsu no Taizai,,31
137992,10,Akame ga Kill!,27168,29
200675,9,Akame ga Kill!,27168,29
310220,8,Akame ga Kill!,27168,29
278672,7,Akame ga Kill!,27168,29
138743,6,Akame ga Kill!,27168,29
69797,5,Akame ga Kill!,27168,29
41055,4,Akame ga Kill!,27168,29
17824,3,Akame ga Kill!,27168,29
8922,2,Akame ga Kill!,27168,29
6114,1,Akame ga Kill!,27168,29
256499,10,Boku dake ga Inai Machi,,30
355317,9,Boku dake ga Inai Machi,,30
346588,8,Boku dake ga Inai Machi,,30
182454,7,Boku dake ga Inai Machi,,30
63409,6,Boku dake ga Inai Machi,,30
23263,5,Boku dake ga Inai Machi,,30
11169,4,Boku dake ga Inai Machi,,30
4709,3,Boku dake ga Inai Machi,,30
2044,2,Boku dake ga Inai Machi,,30
2487,1,Boku dake ga Inai Machi,,30
102058,10,Sword Art Online II,,34
124190,9,Sword Art Online II,,34
216268,8,Sword Art Online II,,34
289993,7,Sword Art Online II,,34
206795,6,Sword Art Online II,,34
130772,5,Sword Art Online II,,34
83599,4,Sword Art Online II,,34
44934,3,Sword Art Online II,,34
27389,2,Sword Art Online II,,34
20940,1,Sword Art Online II,,34
93364,10,Ao no Exorcist,,36
158049,9,Ao no Exorcist,,36
303753,8,Ao no Exorcist,,36
313694,7,Ao no Exorcist,,36
133378,6,Ao no Exorcist,,36
54993,5,Ao no Exorcist,,36
18391,4,Ao no Exorcist,,36
6177,3,Ao no Exorcist,,36
2565,2,Ao no Exorcist,,36
1988,1,Ao no Exorcist,,36
604437,10,Shingeki no Kyojin Season 3 Part 2,,27
445583,9,Shingeki no Kyojin Season 3 Part 2,,27
