Votes,Score,English_Name,Favourites_count,Popularity_ranking
763106,10,Death Note,3624580,2
760360,9,Death Note,3624580,2
594424,8,Death Note,3624580,2
281641,7,Death Note,3624580,2
93663,6,Death Note,3624580,2
38044,5,Death Note,3624580,2
14252,4,Death Note,3624580,2
5052,3,Death Note,3624580,2
3039,2,Death Note,3624580,2
5057,1,Death Note,3624580,2
707954,10,Shingeki no Kyojin,,1
746604,9,Shingeki no Kyojin,,1
669046,8,Shingeki no Kyojin,,1
306092,7,Shingeki no Kyojin,,1
92866,6,Shingeki no Kyojin,,1
39190,5,Shingeki no Kyojin,,1
14960,4,Shingeki no Kyojin,,1
5965,3,Shingeki no Kyojin,,1
3534,2,Shingeki no Kyojin,,1
8259,1,Shingeki no Kyojin,,1
951891,10,Fullmetal Alchemist: Brotherhood,213373,3
542436,9,Fullmetal Alchemist: Brotherhood,213373,3
276508,8,Fullmetal Alchemist: Brotherhood,213373,3
99087,7,Fullmetal Alchemist: Brotherhood,213373,3
29482,6,Fullmetal Alchemist: Brotherhood,213373,3
14013,5,Fullmetal Alchemist: Brotherhood,213373,3
5057,4,Fullmetal Alchemist: Brotherhood,213373,3
2444,3,Fullmetal Alchemist: Brotherhood,213373,3
3040,2,Fullmetal Alchemist: Brotherhood,213373,3
40628,1,Fullmetal Alchemist: Brotherhood,213373,3
291986,10,Sword Art Online,66175,5
290473,9,Sword Art Online,66175,5
397914,8,Sword Art Online,66175,5
410791,7,Sword Art Online,66175,5
255261,6,Sword Art Online,66175,5
165467,5,Sword Art Online,66175,5
105609,4,Sword Art Online,66175,5
56075,3,Sword Art Online,66175,5
31667,2,Sword Art Online,66175,5
29428,1,Sword Art Online,66175,5
464756,10,One Punch Man,2982349,4
640103,9,One Punch Man,2982349,4
601504,8,One Punch Man,2982349,4
260797,7,One Punch Man,2982349,4
69984,6,One Punch Man,2982349,4
25687,5,One Punch Man,2982349,4
7989,4,One Punch Man,2982349,4
3159,3,One Punch Man,2982349,4
1914,2,One Punch Man,2982349,4
3506,1,One Punch Man,2982349,4
244917,10,Boku no Hero Academia,,6
403361,9,Boku no Hero Academia,,6
603905,8,Boku no Hero Academia,,6
435277,7,Boku no Hero Academia,,6
147605,6,Boku no Hero Academia,,6
58960,5,Boku no Hero Academia,,6
17889,4,Boku no Hero Academia,,6
7306,3,Boku no Hero Academia,,6
3799,2,Boku no Hero Academia,,6
6745,1,Boku no Hero Academia,,6
