Votes,Score,English_Name,Favourites_count,Popularity_ranking
706233,10,Death Note,3322560,2
700138,9,Death Note,3322560,2
545072,8,Death Note,3322560,2
258886,7,Death Note,3322560,2
86474,6,Death Note,3322560,2
35124,5,Death Note,3322560,2
13043,4,Death Note,3322560,2
4654,3,Death Note,3322560,2
2801,2,Death Note,3322560,2
4647,1,Death Note,3322560,2
645724,10,Shingeki no Kyojin,,1
687151,9,Shingeki no Kyojin,,1
613228,8,Shingeki no Kyojin,,1
282375,7,Shingeki no Kyojin,,1
86384,6,Shingeki no Kyojin,,1
36748,5,Shingeki no Kyojin,,1
13907,4,Shingeki no Kyojin,,1
5492,3,Shingeki no Kyojin,,1
3261,2,Shingeki no Kyojin,,1
7336,1,Shingeki no Kyojin,,1
875090,10,Fullmetal Alchemist: Brotherhood,197510,3
502661,9,Fullmetal Alchemist: Brotherhood,197510,3
254596,8,Fullmetal Alchemist: Brotherhood,197510,3
90593,7,Fullmetal Alchemist: Brotherhood,197510,3
26541,6,Fullmetal Alchemist: Brotherhood,197510,3
12327,5,Fullmetal Alchemist: Brotherhood,197510,3
4445,4,Fullmetal Alchemist: Brotherhood,197510,3
2105,3,Fullmetal Alchemist: Brotherhood,197510,3
2587,2,Fullmetal Alchemist: Brotherhood,197510,3
24819,1,Fullmetal Alchemist: Brotherhood,197510,3
276758,10,Sword Art Online,63173,5
275173,9,Sword Art Online,63173,5
371531,8,Sword Art Online,63173,5
381559,7,Sword Art Online,63173,5
238292,6,Sword Art Online,63173,5
155492,5,Sword Art Online,63173,5
100131,4,Sword Art Online,63173,5
53446,3,Sword Art Online,63173,5
30225,2,Sword Art Online,63173,5
27889,1,Sword Art Online,63173,5
432444,10,One Punch Man,56546,4
590646,9,One Punch Man,56546,4
546433,8,One Punch Man,56546,4
236997,7,One Punch Man,56546,4
64093,6,One Punch Man,56546,4
23671,5,One Punch Man,56546,4
7400,4,One Punch Man,56546,4
2918,3,One Punch Man,56546,4
1800,2,One Punch Man,56546,4
3265,1,One Punch Man,56546,4
232929,10,Boku no Hero Academia,,6
384367,9,Boku no Hero Academia,,6
558252,8,Boku no Hero Academia,,6
387777,7,Boku no Hero Academia,,6
127795,6,Boku no Hero Academia,,6
50060,5,Boku no Hero Academia,,6
15024,4,Boku no Hero Academia,,6
6030,3,Boku no Hero Academia,,6
3147,2,Boku no Hero Academia,,6
5492,1,Boku no Hero Academia,,6
238271,10,Tokyo Ghoul,2430431,7
