Votes,Score,English_Name,Favourites_count,Popularity_ranking
683926,10,Death Note,146610,1
675700,9,Death Note,146610,1
525285,8,Death Note,146610,1
249741,7,Death Note,146610,1
83460,6,Death Note,146610,1
33863,5,Death Note,146610,1
12596,4,Death Note,146610,1
4461,3,Death Note,146610,1
2704,2,Death Note,146610,1
4449,1,Death Note,146610,1
615813,10,Shingeki no Kyojin,,2
659435,9,Shingeki no Kyojin,,2
589130,8,Shingeki no Kyojin,,2
272730,7,Shingeki no Kyojin,,2
84083,6,Shingeki no Kyojin,,2
35958,5,Shingeki no Kyojin,,2
13583,4,Shingeki no Kyojin,,2
5334,3,Shingeki no Kyojin,,2
3197,2,Shingeki no Kyojin,,2
6882,1,Shingeki no Kyojin,,2
847812,10,Fullmetal Alchemist: Brotherhood,191902,3
487227,9,Fullmetal Alchemist: Brotherhood,191902,3
245877,8,Fullmetal Alchemist: Brotherhood,191902,3
87256,7,Fullmetal Alchemist: Brotherhood,191902,3
25456,6,Fullmetal Alchemist: Brotherhood,191902,3
11877,5,Fullmetal Alchemist: Brotherhood,191902,3
4203,4,Fullmetal Alchemist: Brotherhood,191902,3
1976,3,Fullmetal Alchemist: Brotherhood,191902,3
2511,2,Fullmetal Alchemist: Brotherhood,191902,3
22218,1,Fullmetal Alchemist: Brotherhood,191902,3
270935,10,Sword Art Online,,4
269190,9,Sword Art Online,,4
361242,8,Sword Art Online,,4
369647,7,Sword Art Online,,4
231146,6,Sword Art Online,,4
151334,5,Sword Art Online,,4
97409,4,Sword Art Online,,4
52203,3,Sword Art Online,,4
29562,2,Sword Art Online,,4
27230,1,Sword Art Online,,4
420057,10,One Punch Man,,5
570968,9,One Punch Man,,5
523592,8,One Punch Man,,5
226844,7,One Punch Man,,5
61529,6,One Punch Man,,5
22786,5,One Punch Man,,5
7157,4,One Punch Man,,5
2810,3,One Punch Man,,5
1739,2,One Punch Man,,5
3177,1,One Punch Man,,5
228010,10,Boku no Hero Academia,,6
376619,9,Boku no Hero Academia,,6
539803,8,Boku no Hero Academia,,6
368169,7,Boku no Hero Academia,,6
119954,6,Boku no Hero Academia,,6
46595,5,Boku no Hero Academia,,6
13975,4,Boku no Hero Academia,,6
5586,3,Boku no Hero Academia,,6
2841,2,Boku no Hero Academia,,6
5050,1,Boku no Hero Academia,,6
231367,10,Tokyo Ghoul,44433,7
307434,9,Tokyo Ghoul,44433,7
440021,8,Tokyo Ghoul,44433,7
333626,7,Tokyo Ghoul,44433,7
141006,6,Tokyo Ghoul,44433,7
63708,5,Tokyo Ghoul,44433,7
30263,4,Tokyo Ghoul,44433,7
12463,3,Tokyo Ghoul,44433,7
6275,2,Tokyo Ghoul,44433,7
5845,1,Tokyo Ghoul,44433,7
289761,10,Naruto,65269,8
306802,9,Naruto,65269,8
446017,8,Naruto,65269,8
360373,7,Naruto,65269,8
132919,6,Naruto,65269,8
55830,5,Naruto,65269,8
18173,4,Naruto,65269,8
7141,3,Naruto,65269,8
4163,2,Naruto,65269,8
6654,1,Naruto,65269,8
626265,10,Kimi no Na wa.,,10
436005,9,Kimi no Na wa.,,10
277527,8,Kimi no Na wa.,,10
123429,7,Kimi no Na wa.,,10
43077,6,Kimi no Na wa.,,10
17855,5,Kimi no Na wa.,,10
7326,4,Kimi no Na wa.,,10
2950,3,Kimi no Na wa.,,10
1518,2,Kimi no Na wa.,,10
4672,1,Kimi no Na wa.,,10
584330,10,Hunter x Hunter (2011),,9
410869,9,Hunter x Hunter (2011),,9
230533,8,Hunter x Hunter (2011),,9
91397,7,Hunter x Hunter (2011),,9
26372,6,Hunter x Hunter (2011),,9
11215,5,Hunter x Hunter (2011),,9
4112,4,Hunter x Hunter (2011),,9
1743,3,Hunter x Hunter (2011),,9
1337,2,Hunter x Hunter (2011),,9
5518,1,Hunter x Hunter (2011),,9
373453,10,Kimetsu no Yaiba,,11
471789,9,Kimetsu no Yaiba,,11
404669,8,Kimetsu no Yaiba,,11
165500,7,Kimetsu no Yaiba,,11
46788,6,Kimetsu no Yaiba,,11
19242,5,Kimetsu no Yaiba,,11
6517,4,Kimetsu no Yaiba,,11
2573,3,Kimetsu no Yaiba,,11
1391,2,Kimetsu no Yaiba,,11
4223,1,Kimetsu no Yaiba,,11
546822,10,Steins;Gate,,13
327910,9,Steins;Gate,,13
169239,8,Steins;Gate,,13
69636,7,Steins;Gate,,13
25836,6,Steins;Gate,,13
13660,5,Steins;Gate,,13
6377,4,Steins;Gate,,13
3026,3,Steins;Gate,,13
2317,2,Steins;Gate,,13
6719,1,Steins;Gate,,13
344724,10,Shingeki no Kyojin Season 2,,12
431637,9,Shingeki no Kyojin Season 2,,12
421679,8,Shingeki no Kyojin Season 2,,12
180403,7,Shingeki no Kyojin Season 2,,12
49650,6,Shingeki no Kyojin Season 2,,12
16174,5,Shingeki no Kyojin Season 2,,12
6411,4,Shingeki no Kyojin Season 2,,12
2153,3,Shingeki no Kyojin Season 2,,12
1120,2,Shingeki no Kyojin Season 2,,12
2792,1,Shingeki no Kyojin Season 2,,12
218928,10,Boku no Hero Academia 2nd Season,,14
384226,9,Boku no Hero Academia 2nd Season,,14
468204,8,Boku no Hero Academia 2nd Season,,14
248327,7,Boku no Hero Academia 2nd Season,,14
73073,6,Boku no Hero Academia 2nd Season,,14
25902,5,Boku no Hero Academia 2nd Season,,14
7426,4,Boku no Hero Academia 2nd Season,,14
2882,3,Boku no Hero Academia 2nd Season,,14
1475,2,Boku no Hero Academia 2nd Season,,14
3052,1,Boku no Hero Academia 2nd Season,,14
252974,10,No Game No Life,,15
323291,9,No Game No Life,,15
367503,8,No Game No Life,,15
229873,7,No Game No Life,,15
87831,6,No Game No Life,,15
38570,5,No Game No Life,,15
18702,4,No Game No Life,,15
8123,3,No Game No Life,,15
4415,2,No Game No Life,,15
4625,1,No Game No Life,,15
339984,10,Naruto: Shippuuden,,16
280483,9,Naruto: Shippuuden,,16
306907,8,Naruto: Shippuuden,,16
219204,7,Naruto: Shippuuden,,16
93076,6,Naruto: Shippuuden,,16
43534,5,Naruto: Shippuuden,,16
19250,4,Naruto: Shippuuden,,16
7932,3,Naruto: Shippuuden,,16
4103,2,Naruto: Shippuuden,,16
5427,1,Naruto: Shippuuden,,16
380238,10,Code Geass: Hangyaku no Lelouch,,17
368373,9,Code Geass: Hangyaku no Lelouch,,17
256617,8,Code Geass: Hangyaku no Lelouch,,17
111204,7,Code Geass: Hangyaku no Lelouch,,17
37649,6,Code Geass: Hangyaku no Lelouch,,17
17258,5,Code Geass: Hangyaku no Lelouch,,17
8389,4,Code Geass: Hangyaku no Lelouch,,17
3643,3,Code Geass: Hangyaku no Lelouch,,17
1951,2,Code Geass: Hangyaku no Lelouch,,17
3156,1,Code Geass: Hangyaku no Lelouch,,17
208504,10,Toradora!,,18
291405,9,Toradora!,,18
331236,8,Toradora!,,18
205793,7,Toradora!,,18
78721,6,Toradora!,,18
35114,5,Toradora!,,18
15491,4,Toradora!,,18
6398,3,Toradora!,,18
3619,2,Toradora!,,18
4211,1,Toradora!,,18
132148,10,Noragami,,19
233180,9,Noragami,,19
373121,8,Noragami,,19
244630,7,Noragami,,19
74164,6,Noragami,,19
26014,5,Noragami,,19
7165,4,Noragami,,19
2298,3,Noragami,,19
1045,2,Noragami,,19
1176,1,Noragami,,19
217414,10,Angel Beats!,,20
269002,9,Angel Beats!,,20
304481,8,Angel Beats!,,20
199928,7,Angel Beats!,,20
81922,6,Angel Beats!,,20
37419,5,Angel Beats!,,20
16968,4,Angel Beats!,,20
7012,3,Angel Beats!,,20
3281,2,Angel Beats!,,20
2988,1,Angel Beats!,,20
227600,10,Re:Zero kara Hajimeru Isekai Seikatsu,,22
325073,9,Re:Zero kara Hajimeru Isekai Seikatsu,,22
340690,8,Re:Zero kara Hajimeru Isekai Seikatsu,,22
170147,7,Re:Zero kara Hajimeru Isekai Seikatsu,,22
60242,6,Re:Zero kara Hajimeru Isekai Seikatsu,,22
26467,5,Re:Zero kara Hajimeru Isekai Seikatsu,,22
14344,4,Re:Zero kara Hajimeru Isekai Seikatsu,,22
6246,3,Re:Zero kara Hajimeru Isekai Seikatsu,,22
3555,2,Re:Zero kara Hajimeru Isekai Seikatsu,,22
4476,1,Re:Zero kara Hajimeru Isekai Seikatsu,,22
371042,10,Shigatsu wa Kimi no Uso,,21
316122,9,Shigatsu wa Kimi no Uso,,21
235953,8,Shigatsu wa Kimi no Uso,,21
112650,7,Shigatsu wa Kimi no Uso,,21
42111,6,Shigatsu wa Kimi no Uso,,21
19326,5,Shigatsu wa Kimi no Uso,,21
9329,4,Shigatsu wa Kimi no Uso,,21
3829,3,Shigatsu wa Kimi no Uso,,21
2120,2,Shigatsu wa Kimi no Uso,,21
3429,1,Shigatsu wa Kimi no Uso,,21
514532,10,Koe no Katachi,,23
397867,9,Koe no Katachi,,23
218721,8,Koe no Katachi,,23
87527,7,Koe no Katachi,,23
27154,6,Koe no Katachi,,23
10084,5,Koe no Katachi,,23
4292,4,Koe no Katachi,,23
1764,3,Koe no Katachi,,23
986,2,Koe no Katachi,,23
2632,1,Koe no Katachi,,23
175281,10,Boku no Hero Academia 3rd Season,,24
297312,9,Boku no Hero Academia 3rd Season,,24
376151,8,Boku no Hero Academia 3rd Season,,24
215190,7,Boku no Hero Academia 3rd Season,,24
67724,6,Boku no Hero Academia 3rd Season,,24
25045,5,Boku no Hero Academia 3rd Season,,24
7942,4,Boku no Hero Academia 3rd Season,,24
2911,3,Boku no Hero Academia 3rd Season,,24
1395,2,Boku no Hero Academia 3rd Season,,24
2635,1,Boku no Hero Academia 3rd Season,,24
135542,10,Mirai Nikki (TV),,26
