Votes,Score,English_Name,Favourites_count,Popularity_ranking
754530,10,Death Note,3569314,2
751526,9,Death Note,3569314,2
587289,8,Death Note,3569314,2
278438,7,Death Note,3569314,2
92685,6,Death Note,3569314,2
37646,5,Death Note,3569314,2
14111,4,Death Note,3569314,2
5006,3,Death Note,3569314,2
3007,2,Death Note,3569314,2
5000,1,Death Note,3569314,2
698310,10,Shingeki no Kyojin,,1
738126,9,Shingeki no Kyojin,,1
661362,8,Shingeki no Kyojin,,1
302876,7,Shingeki no Kyojin,,1
92001,6,Shingeki no Kyojin,,1
38893,5,Shingeki no Kyojin,,1
14785,4,Shingeki no Kyojin,,1
5887,3,Shingeki no Kyojin,,1
3502,2,Shingeki no Kyojin,,1
8164,1,Shingeki no Kyojin,,1
941168,10,Fullmetal Alchemist: Brotherhood,211379,3
536390,9,Fullmetal Alchemist: Brotherhood,211379,3
273149,8,Fullmetal Alchemist: Brotherhood,211379,3
97787,7,Fullmetal Alchemist: Brotherhood,211379,3
29040,6,Fullmetal Alchemist: Brotherhood,211379,3
13804,5,Fullmetal Alchemist: Brotherhood,211379,3
4982,4,Fullmetal Alchemist: Brotherhood,211379,3
2415,3,Fullmetal Alchemist: Brotherhood,211379,3
2999,2,Fullmetal Alchemist: Brotherhood,211379,3
39630,1,Fullmetal Alchemist: Brotherhood,211379,3
289581,10,Sword Art Online,65754,5
288143,9,Sword Art Online,65754,5
394018,8,Sword Art Online,65754,5
406559,7,Sword Art Online,65754,5
252935,6,Sword Art Online,65754,5
164183,5,Sword Art Online,65754,5
104928,4,Sword Art Online,65754,5
55767,3,Sword Art Online,65754,5
31462,2,Sword Art Online,65754,5
29235,1,Sword Art Online,65754,5
459969,10,One Punch Man,2934134,4
632928,9,One Punch Man,2934134,4
593765,8,One Punch Man,2934134,4
257410,7,One Punch Man,2934134,4
69112,6,One Punch Man,2934134,4
25413,5,One Punch Man,2934134,4
7922,4,One Punch Man,2934134,4
3137,3,One Punch Man,2934134,4
1898,2,One Punch Man,2934134,4
3460,1,One Punch Man,2934134,4
242993,10,Boku no Hero Academia,,6
400453,9,Boku no Hero Academia,,6
597129,8,Boku no Hero Academia,,6
427918,7,Boku no Hero Academia,,6
144711,6,Boku no Hero Academia,,6
57751,5,Boku no Hero Academia,,6
17468,4,Boku no Hero Academia,,6
7147,3,Boku no Hero Academia,,6
3675,2,Boku no Hero Academia,,6
6600,1,Boku no Hero Academia,,6
253158,10,Tokyo Ghoul,2599897,9
335357,9,Tokyo Ghoul,2599897,9
488136,8,Tokyo Ghoul,2599897,9
372037,7,Tokyo Ghoul,2599897,9
156429,6,Tokyo Ghoul,2599897,9
70357,5,Tokyo Ghoul,2599897,9
33321,4,Tokyo Ghoul,2599897,9
13730,3,Tokyo Ghoul,2599897,9
7002,2,Tokyo Ghoul,2599897,9
6539,1,Tokyo Ghoul,2599897,9
328691,10,Naruto,73558,8
343174,9,Naruto,73558,8
499084,8,Naruto,73558,8
399823,7,Naruto,73558,8
146735,6,Naruto,73558,8
60862,5,Naruto,73558,8
19856,4,Naruto,73558,8
7779,3,Naruto,73558,8
4529,2,Naruto,73558,8
7376,1,Naruto,73558,8
687879,10,Kimi no Na wa.,,11
490851,9,Kimi no Na wa.,,11
320969,8,Kimi no Na wa.,,11
144393,7,Kimi no Na wa.,,11
50650,6,Kimi no Na wa.,,11
21066,5,Kimi no Na wa.,,11
8568,4,Kimi no Na wa.,,11
3498,3,Kimi no Na wa.,,11
1862,2,Kimi no Na wa.,,11
5125,1,Kimi no Na wa.,,11
668424,10,Hunter x Hunter (2011),,10
474782,9,Hunter x Hunter (2011),,10
268395,8,Hunter x Hunter (2011),,10
106374,7,Hunter x Hunter (2011),,10
31108,6,Hunter x Hunter (2011),,10
13301,5,Hunter x Hunter (2011),,10
4881,4,Hunter x Hunter (2011),,10
2034,3,Hunter x Hunter (2011),,10
1534,2,Hunter x Hunter (2011),,10
6209,1,Hunter x Hunter (2011),,10
445801,10,Kimetsu no Yaiba,,7
559857,9,Kimetsu no Yaiba,,7
500821,8,Kimetsu no Yaiba,,7
215182,7,Kimetsu no Yaiba,,7
62024,6,Kimetsu no Yaiba,,7
25530,5,Kimetsu no Yaiba,,7
8644,4,Kimetsu no Yaiba,,7
3352,3,Kimetsu no Yaiba,,7
1826,2,Kimetsu no Yaiba,,7
5288,1,Kimetsu no Yaiba,,7
599210,10,Steins;Gate,,13
360123,9,Steins;Gate,,13
187343,8,Steins;Gate,,13
77575,7,Steins;Gate,,13
28798,6,Steins;Gate,,13
15178,5,Steins;Gate,,13
7280,4,Steins;Gate,,13
3366,3,Steins;Gate,,13
2543,2,Steins;Gate,,13
8782,1,Steins;Gate,,13
403217,10,Shingeki no Kyojin Season 2,,12
498222,9,Shingeki no Kyojin Season 2,,12
487697,8,Shingeki no Kyojin Season 2,,12
206813,7,Shingeki no Kyojin Season 2,,12
56259,6,Shingeki no Kyojin Season 2,,12
18314,5,Shingeki no Kyojin Season 2,,12
7197,4,Shingeki no Kyojin Season 2,,12
2460,3,Shingeki no Kyojin Season 2,,12
1271,2,Shingeki no Kyojin Season 2,,12
3466,1,Shingeki no Kyojin Season 2,,12
231175,10,Boku no Hero Academia 2nd Season,,14
409103,9,Boku no Hero Academia 2nd Season,,14
524108,8,Boku no Hero Academia 2nd Season,,14
291943,7,Boku no Hero Academia 2nd Season,,14
88932,6,Boku no Hero Academia 2nd Season,,14
32406,5,Boku no Hero Academia 2nd Season,,14
9460,4,Boku no Hero Academia 2nd Season,,14
3736,3,Boku no Hero Academia 2nd Season,,14
1878,2,Boku no Hero Academia 2nd Season,,14
3837,1,Boku no Hero Academia 2nd Season,,14
267640,10,No Game No Life,,16
342940,9,No Game No Life,,16
399048,8,No Game No Life,,16
252920,7,No Game No Life,,16
98419,6,No Game No Life,,16
43342,5,No Game No Life,,16
21423,4,No Game No Life,,16
9473,3,No Game No Life,,16
5169,2,No Game No Life,,16
5551,1,No Game No Life,,16
394213,10,Naruto: Shippuuden,,15
320921,9,Naruto: Shippuuden,,15
350061,8,Naruto: Shippuuden,,15
246960,7,Naruto: Shippuuden,,15
103286,6,Naruto: Shippuuden,,15
48002,5,Naruto: Shippuuden,,15
21101,4,Naruto: Shippuuden,,15
8780,3,Naruto: Shippuuden,,15
4544,2,Naruto: Shippuuden,,15
6269,1,Naruto: Shippuuden,,15
414848,10,Code Geass: Hangyaku no Lelouch,,19
403294,9,Code Geass: Hangyaku no Lelouch,,19
282999,8,Code Geass: Hangyaku no Lelouch,,19
122489,7,Code Geass: Hangyaku no Lelouch,,19
41437,6,Code Geass: Hangyaku no Lelouch,,19
18837,5,Code Geass: Hangyaku no Lelouch,,19
9204,4,Code Geass: Hangyaku no Lelouch,,19
4023,3,Code Geass: Hangyaku no Lelouch,,19
2179,2,Code Geass: Hangyaku no Lelouch,,19
3675,1,Code Geass: Hangyaku no Lelouch,,19
222958,10,Toradora!,,21
311431,9,Toradora!,,21
362183,8,Toradora!,,21
229536,7,Toradora!,,21
89818,6,Toradora!,,21
40758,5,Toradora!,,21
18428,4,Toradora!,,21
7646,3,Toradora!,,21
4414,2,Toradora!,,21
5179,1,Toradora!,,21
142590,10,Noragami,,24
248805,9,Noragami,,24
406350,8,Noragami,,24
270749,7,Noragami,,24
82468,6,Noragami,,24
29066,5,Noragami,,24
7990,4,Noragami,,24
2594,3,Noragami,,24
1168,2,Noragami,,24
1345,1,Noragami,,24
227567,10,Angel Beats!,,28
283485,9,Angel Beats!,,28
326806,8,Angel Beats!,,28
217611,7,Angel Beats!,,28
89727,6,Angel Beats!,,28
41148,5,Angel Beats!,,28
18671,4,Angel Beats!,,28
7722,3,Angel Beats!,,28
3681,2,Angel Beats!,,28
3321,1,Angel Beats!,,28
246632,10,Re:Zero kara Hajimeru Isekai Seikatsu,,25
354226,9,Re:Zero kara Hajimeru Isekai Seikatsu,,25
379669,8,Re:Zero kara Hajimeru Isekai Seikatsu,,25
191226,7,Re:Zero kara Hajimeru Isekai Seikatsu,,25
68142,6,Re:Zero kara Hajimeru Isekai Seikatsu,,25
29812,5,Re:Zero kara Hajimeru Isekai Seikatsu,,25
16082,4,Re:Zero kara Hajimeru Isekai Seikatsu,,25
7049,3,Re:Zero kara Hajimeru Isekai Seikatsu,,25
4027,2,Re:Zero kara Hajimeru Isekai Seikatsu,,25
5075,1,Re:Zero kara Hajimeru Isekai Seikatsu,,25
407157,10,Shigatsu wa Kimi no Uso,,23
350080,9,Shigatsu wa Kimi no Uso,,23
266914,8,Shigatsu wa Kimi no Uso,,23
128625,7,Shigatsu wa Kimi no Uso,,23
48170,6,Shigatsu wa Kimi no Uso,,23
22003,5,Shigatsu wa Kimi no Uso,,23
10704,4,Shigatsu wa Kimi no Uso,,23
4410,3,Shigatsu wa Kimi no Uso,,23
2492,2,Shigatsu wa Kimi no Uso,,23
3958,1,Shigatsu wa Kimi no Uso,,23
583155,10,Koe no Katachi,,18
455407,9,Koe no Katachi,,18
257065,8,Koe no Katachi,,18
103656,7,Koe no Katachi,,18
32313,6,Koe no Katachi,,18
12104,5,Koe no Katachi,,18
5219,4,Koe no Katachi,,18
2157,3,Koe no Katachi,,18
1217,2,Koe no Katachi,,18
3082,1,Koe no Katachi,,18
187949,10,Boku no Hero Academia 3rd Season,,26
320096,9,Boku no Hero Academia 3rd Season,,26
425433,8,Boku no Hero Academia 3rd Season,,26
254666,7,Boku no Hero Academia 3rd Season,,26
