Votes,Score,English_Name,Favourites_count,Popularity_ranking
737311,10,Death Note,3481040,2
733817,9,Death Note,3481040,2
572733,8,Death Note,3481040,2
271774,7,Death Note,3481040,2
90502,6,Death Note,3481040,2
36795,5,Death Note,3481040,2
13741,4,Death Note,3481040,2
4883,3,Death Note,3481040,2
2919,2,Death Note,3481040,2
4886,1,Death Note,3481040,2
680385,10,Shingeki no Kyojin,,1
721035,9,Shingeki no Kyojin,,1
645743,8,Shingeki no Kyojin,,1
296209,7,Shingeki no Kyojin,,1
90115,6,Shingeki no Kyojin,,1
38208,5,Shingeki no Kyojin,,1
14432,4,Shingeki no Kyojin,,1
5762,3,Shingeki no Kyojin,,1
3437,2,Shingeki no Kyojin,,1
7895,1,Shingeki no Kyojin,,1
918361,10,Fullmetal Alchemist: Brotherhood,206319,3
524179,9,Fullmetal Alchemist: Brotherhood,206319,3
266317,8,Fullmetal Alchemist: Brotherhood,206319,3
95099,7,Fullmetal Alchemist: Brotherhood,206319,3
28070,6,Fullmetal Alchemist: Brotherhood,206319,3
13252,5,Fullmetal Alchemist: Brotherhood,206319,3
4764,4,Fullmetal Alchemist: Brotherhood,206319,3
2289,3,Fullmetal Alchemist: Brotherhood,206319,3
2816,2,Fullmetal Alchemist: Brotherhood,206319,3
32674,1,Fullmetal Alchemist: Brotherhood,206319,3
284836,10,Sword Art Online,64754,5
283563,9,Sword Art Online,64754,5
386057,8,Sword Art Online,64754,5
397843,7,Sword Art Online,64754,5
248195,6,Sword Art Online,64754,5
161372,5,Sword Art Online,64754,5
103500,4,Sword Art Online,64754,5
55134,3,Sword Art Online,64754,5
31120,2,Sword Art Online,64754,5
28804,1,Sword Art Online,64754,5
450200,10,One Punch Man,2859370,4
618516,9,One Punch Man,2859370,4
577564,8,One Punch Man,2859370,4
250431,7,One Punch Man,2859370,4
67392,6,One Punch Man,2859370,4
24789,5,One Punch Man,2859370,4
7760,4,One Punch Man,2859370,4
3053,3,One Punch Man,2859370,4
1861,2,One Punch Man,2859370,4
3375,1,One Punch Man,2859370,4
239450,10,Boku no Hero Academia,,6
394740,9,Boku no Hero Academia,,6
583761,8,Boku no Hero Academia,,6
413993,7,Boku no Hero Academia,,6
138886,6,Boku no Hero Academia,,6
55032,5,Boku no Hero Academia,,6
16584,4,Boku no Hero Academia,,6
6730,3,Boku no Hero Academia,,6
3498,2,Boku no Hero Academia,,6
6237,1,Boku no Hero Academia,,6
247805,10,Tokyo Ghoul,2539973,7
328852,9,Tokyo Ghoul,2539973,7
477215,8,Tokyo Ghoul,2539973,7
363120,7,Tokyo Ghoul,2539973,7
152643,6,Tokyo Ghoul,2539973,7
68866,5,Tokyo Ghoul,2539973,7
32634,4,Tokyo Ghoul,2539973,7
13488,3,Tokyo Ghoul,2539973,7
6850,2,Tokyo Ghoul,2539973,7
6392,1,Tokyo Ghoul,2539973,7
318508,10,Naruto,71311,8
334115,9,Naruto,71311,8
486307,8,Naruto,71311,8
390981,7,Naruto,71311,8
143718,6,Naruto,71311,8
59776,5,Naruto,71311,8
19462,4,Naruto,71311,8
7623,3,Naruto,71311,8
4439,2,Naruto,71311,8
7215,1,Naruto,71311,8
673349,10,Kimi no Na wa.,,11
478011,9,Kimi no Na wa.,,11
310885,8,Kimi no Na wa.,,11
139504,7,Kimi no Na wa.,,11
48816,6,Kimi no Na wa.,,11
