Votes,Score,English_Name,Favourites_count,Popularity_ranking
693088,10,Death Note,148457,1
685542,9,Death Note,148457,1
533638,8,Death Note,148457,1
253613,7,Death Note,148457,1
84810,6,Death Note,148457,1
34412,5,Death Note,148457,1
12788,4,Death Note,148457,1
4551,3,Death Note,148457,1
2744,2,Death Note,148457,1
4518,1,Death Note,148457,1
627517,10,Shingeki no Kyojin,,2
670815,9,Shingeki no Kyojin,,2
599029,8,Shingeki no Kyojin,,2
276780,7,Shingeki no Kyojin,,2
85112,6,Shingeki no Kyojin,,2
36355,5,Shingeki no Kyojin,,2
13709,4,Shingeki no Kyojin,,2
5392,3,Shingeki no Kyojin,,2
3228,2,Shingeki no Kyojin,,2
7035,1,Shingeki no Kyojin,,2
858167,10,Fullmetal Alchemist: Brotherhood,194001,3
493822,9,Fullmetal Alchemist: Brotherhood,194001,3
249548,8,Fullmetal Alchemist: Brotherhood,194001,3
88719,7,Fullmetal Alchemist: Brotherhood,194001,3
25945,6,Fullmetal Alchemist: Brotherhood,194001,3
12048,5,Fullmetal Alchemist: Brotherhood,194001,3
4298,4,Fullmetal Alchemist: Brotherhood,194001,3
2019,3,Fullmetal Alchemist: Brotherhood,194001,3
2521,2,Fullmetal Alchemist: Brotherhood,194001,3
22421,1,Fullmetal Alchemist: Brotherhood,194001,3
273417,10,Sword Art Online,,5
271754,9,Sword Art Online,,5
365514,8,Sword Art Online,,5
374701,7,Sword Art Online,,5
234179,6,Sword Art Online,,5
153087,5,Sword Art Online,,5
98619,4,Sword Art Online,,5
52735,3,Sword Art Online,,5
29840,2,Sword Art Online,,5
27501,1,Sword Art Online,,5
425335,10,One Punch Man,,4
579387,9,One Punch Man,,4
532963,8,One Punch Man,,4
231063,7,One Punch Man,,4
62578,6,One Punch Man,,4
23182,5,One Punch Man,,4
7249,4,One Punch Man,,4
2863,3,One Punch Man,,4
1761,2,One Punch Man,,4
3214,1,One Punch Man,,4
230111,10,Boku no Hero Academia,,6
379938,9,Boku no Hero Academia,,6
547527,8,Boku no Hero Academia,,6
376418,7,Boku no Hero Academia,,6
123197,6,Boku no Hero Academia,,6
48008,5,Boku no Hero Academia,,6
14416,4,Boku no Hero Academia,,6
5795,3,Boku no Hero Academia,,6
2965,2,Boku no Hero Academia,,6
5189,1,Boku no Hero Academia,,6
234288,10,Tokyo Ghoul,44865,8
311174,9,Tokyo Ghoul,44865,8
446426,8,Tokyo Ghoul,44865,8
338671,7,Tokyo Ghoul,44865,8
