Votes,Score,English_Name,Favourites_count,Popularity_ranking
719410,10,Death Note,3390103,2
714106,9,Death Note,3390103,2
557034,8,Death Note,3390103,2
264458,7,Death Note,3390103,2
88165,6,Death Note,3390103,2
35880,5,Death Note,3390103,2
13316,4,Death Note,3390103,2
4764,3,Death Note,3390103,2
2848,2,Death Note,3390103,2
4741,1,Death Note,3390103,2
662027,10,Shingeki no Kyojin,,1
702261,9,Shingeki no Kyojin,,1
627613,8,Shingeki no Kyojin,,1
288395,7,Shingeki no Kyojin,,1
87915,6,Shingeki no Kyojin,,1
37387,5,Shingeki no Kyojin,,1
14105,4,Shingeki no Kyojin,,1
5613,3,Shingeki no Kyojin,,1
3333,2,Shingeki no Kyojin,,1
7609,1,Shingeki no Kyojin,,1
891428,10,Fullmetal Alchemist: Brotherhood,200879,3
511862,9,Fullmetal Alchemist: Brotherhood,200879,3
259785,8,Fullmetal Alchemist: Brotherhood,200879,3
92500,7,Fullmetal Alchemist: Brotherhood,200879,3
27180,6,Fullmetal Alchemist: Brotherhood,200879,3
12634,5,Fullmetal Alchemist: Brotherhood,200879,3
4546,4,Fullmetal Alchemist: Brotherhood,200879,3
2167,3,Fullmetal Alchemist: Brotherhood,200879,3
2666,2,Fullmetal Alchemist: Brotherhood,200879,3
26095,1,Fullmetal Alchemist: Brotherhood,200879,3
280153,10,Sword Art Online,63792,5
278712,9,Sword Art Online,63792,5
377920,8,Sword Art Online,63792,5
388728,7,Sword Art Online,63792,5
242603,6,Sword Art Online,63792,5
158095,5,Sword Art Online,63792,5
101561,4,Sword Art Online,63792,5
54205,3,Sword Art Online,63792,5
30586,2,Sword Art Online,63792,5
28259,1,Sword Art Online,63792,5
439803,10,One Punch Man,2781647,4
602142,9,One Punch Man,2781647,4
560073,8,One Punch Man,2781647,4
242828,7,One Punch Man,2781647,4
65561,6,One Punch Man,2781647,4
24181,5,One Punch Man,2781647,4
7559,4,One Punch Man,2781647,4
2986,3,One Punch Man,2781647,4
1831,2,One Punch Man,2781647,4
3302,1,One Punch Man,2781647,4
235764,10,Boku no Hero Academia,,6
389068,9,Boku no Hero Academia,,6
569276,8,Boku no Hero Academia,,6
399098,7,Boku no Hero Academia,,6
132412,6,Boku no Hero Academia,,6
52173,5,Boku no Hero Academia,,6
15693,4,Boku no Hero Academia,,6
6316,3,Boku no Hero Academia,,6
3292,2,Boku no Hero Academia,,6
5797,1,Boku no Hero Academia,,6
242281,10,Tokyo Ghoul,2477639,7
321799,9,Tokyo Ghoul,2477639,7
464988,8,Tokyo Ghoul,2477639,7
353283,7,Tokyo Ghoul,2477639,7
148860,6,Tokyo Ghoul,2477639,7
67070,5,Tokyo Ghoul,2477639,7
31851,4,Tokyo Ghoul,2477639,7
13129,3,Tokyo Ghoul,2477639,7
6628,2,Tokyo Ghoul,2477639,7
6190,1,Tokyo Ghoul,2477639,7
309001,10,Naruto,69339,8
324991,9,Naruto,69339,8
472834,8,Naruto,69339,8
380581,7,Naruto,69339,8
140054,6,Naruto,69339,8
58437,5,Naruto,69339,8
18995,4,Naruto,69339,8
7439,3,Naruto,69339,8
4321,2,Naruto,69339,8
6988,1,Naruto,69339,8
658003,10,Kimi no Na wa.,,11
464560,9,Kimi no Na wa.,,11
299949,8,Kimi no Na wa.,,11
134227,7,Kimi no Na wa.,,11
46907,6,Kimi no Na wa.,,11
19486,5,Kimi no Na wa.,,11
7973,4,Kimi no Na wa.,,11
3228,3,Kimi no Na wa.,,11
1658,2,Kimi no Na wa.,,11
4908,1,Kimi no Na wa.,,11
622703,10,Hunter x Hunter (2011),,10
441826,9,Hunter x Hunter (2011),,10
249710,8,Hunter x Hunter (2011),,10
99037,7,Hunter x Hunter (2011),,10
28887,6,Hunter x Hunter (2011),,10
12239,5,Hunter x Hunter (2011),,10
4529,4,Hunter x Hunter (2011),,10
1912,3,Hunter x Hunter (2011),,10
1438,2,Hunter x Hunter (2011),,10
5823,1,Hunter x Hunter (2011),,10
415147,10,Kimetsu no Yaiba,,9
521120,9,Kimetsu no Yaiba,,9
455958,8,Kimetsu no Yaiba,,9
189698,7,Kimetsu no Yaiba,,9
53883,6,Kimetsu no Yaiba,,9
22055,5,Kimetsu no Yaiba,,9
7444,4,Kimetsu no Yaiba,,9
2981,3,Kimetsu no Yaiba,,9
1575,2,Kimetsu no Yaiba,,9
4783,1,Kimetsu no Yaiba,,9
572652,10,Steins;Gate,,13
343896,9,Steins;Gate,,13
178204,8,Steins;Gate,,13
73502,7,Steins;Gate,,13
27227,6,Steins;Gate,,13
14358,5,Steins;Gate,,13
6844,4,Steins;Gate,,13
3149,3,Steins;Gate,,13
2432,2,Steins;Gate,,13
7531,1,Steins;Gate,,13
378814,10,Shingeki no Kyojin Season 2,,12
469092,9,Shingeki no Kyojin Season 2,,12
457899,8,Shingeki no Kyojin Season 2,,12
194229,7,Shingeki no Kyojin Season 2,,12
53027,6,Shingeki no Kyojin Season 2,,12
17208,5,Shingeki no Kyojin Season 2,,12
6805,4,Shingeki no Kyojin Season 2,,12
2302,3,Shingeki no Kyojin Season 2,,12
1205,2,Shingeki no Kyojin Season 2,,12
3199,1,Shingeki no Kyojin Season 2,,12
225557,10,Boku no Hero Academia 2nd Season,,14
397343,9,Boku no Hero Academia 2nd Season,,14
497402,8,Boku no Hero Academia 2nd Season,,14
270743,7,Boku no Hero Academia 2nd Season,,14
81222,6,Boku no Hero Academia 2nd Season,,14
29055,5,Boku no Hero Academia 2nd Season,,14
8430,4,Boku no Hero Academia 2nd Season,,14
3318,3,Boku no Hero Academia 2nd Season,,14
1664,2,Boku no Hero Academia 2nd Season,,14
3433,1,Boku no Hero Academia 2nd Season,,14
260478,10,No Game No Life,,15
333656,9,No Game No Life,,15
384246,8,No Game No Life,,15
241788,7,No Game No Life,,15
93394,6,No Game No Life,,15
41037,5,No Game No Life,,15
20098,4,No Game No Life,,15
8812,3,No Game No Life,,15
4756,2,No Game No Life,,15
5104,1,No Game No Life,,15
367182,10,Naruto: Shippuuden,,16
300800,9,Naruto: Shippuuden,,16
328577,8,Naruto: Shippuuden,,16
232927,7,Naruto: Shippuuden,,16
98181,6,Naruto: Shippuuden,,16
45731,5,Naruto: Shippuuden,,16
20181,4,Naruto: Shippuuden,,16
8381,3,Naruto: Shippuuden,,16
4328,2,Naruto: Shippuuden,,16
5840,1,Naruto: Shippuuden,,16
397112,10,Code Geass: Hangyaku no Lelouch,,17
385984,9,Code Geass: Hangyaku no Lelouch,,17
269826,8,Code Geass: Hangyaku no Lelouch,,17
116782,7,Code Geass: Hangyaku no Lelouch,,17
39630,6,Code Geass: Hangyaku no Lelouch,,17
18053,5,Code Geass: Hangyaku no Lelouch,,17
8814,4,Code Geass: Hangyaku no Lelouch,,17
3840,3,Code Geass: Hangyaku no Lelouch,,17
2088,2,Code Geass: Hangyaku no Lelouch,,17
3343,1,Code Geass: Hangyaku no Lelouch,,17
215409,10,Toradora!,,18
301639,9,Toradora!,,18
347639,8,Toradora!,,18
218269,7,Toradora!,,18
84573,6,Toradora!,,18
38063,5,Toradora!,,18
16901,4,Toradora!,,18
7012,3,Toradora!,,18
4005,2,Toradora!,,18
4715,1,Toradora!,,18
137512,10,Noragami,,22
241278,9,Noragami,,22
390852,8,Noragami,,22
258094,7,Noragami,,22
78292,6,Noragami,,22
27575,5,Noragami,,22
7608,4,Noragami,,22
2432,3,Noragami,,22
1107,2,Noragami,,22
1268,1,Noragami,,22
222526,10,Angel Beats!,,24
276645,9,Angel Beats!,,24
316287,8,Angel Beats!,,24
209276,7,Angel Beats!,,24
86039,6,Angel Beats!,,24
39359,5,Angel Beats!,,24
17895,4,Angel Beats!,,24
7374,3,Angel Beats!,,24
3472,2,Angel Beats!,,24
3166,1,Angel Beats!,,24
237192,10,Re:Zero kara Hajimeru Isekai Seikatsu,,23
340288,9,Re:Zero kara Hajimeru Isekai Seikatsu,,23
360849,8,Re:Zero kara Hajimeru Isekai Seikatsu,,23
180826,7,Re:Zero kara Hajimeru Isekai Seikatsu,,23
64270,6,Re:Zero kara Hajimeru Isekai Seikatsu,,23
28079,5,Re:Zero kara Hajimeru Isekai Seikatsu,,23
15169,4,Re:Zero kara Hajimeru Isekai Seikatsu,,23
6675,3,Re:Zero kara Hajimeru Isekai Seikatsu,,23
3769,2,Re:Zero kara Hajimeru Isekai Seikatsu,,23
4731,1,Re:Zero kara Hajimeru Isekai Seikatsu,,23
390538,10,Shigatsu wa Kimi no Uso,,21
334378,9,Shigatsu wa Kimi no Uso,,21
252442,8,Shigatsu wa Kimi no Uso,,21
121228,7,Shigatsu wa Kimi no Uso,,21
45302,6,Shigatsu wa Kimi no Uso,,21
20715,5,Shigatsu wa Kimi no Uso,,21
10036,4,Shigatsu wa Kimi no Uso,,21
4157,3,Shigatsu wa Kimi no Uso,,21
2330,2,Shigatsu wa Kimi no Uso,,21
3675,1,Shigatsu wa Kimi no Uso,,21
550485,10,Koe no Katachi,,19
428109,9,Koe no Katachi,,19
238135,8,Koe no Katachi,,19
95483,7,Koe no Katachi,,19
29705,6,Koe no Katachi,,19
11039,5,Koe no Katachi,,19
4723,4,Koe no Katachi,,19
1929,3,Koe no Katachi,,19
1084,2,Koe no Katachi,,19
2793,1,Koe no Katachi,,19
182093,10,Boku no Hero Academia 3rd Season,,25
309505,9,Boku no Hero Academia 3rd Season,,25
401778,8,Boku no Hero Academia 3rd Season,,25
235494,7,Boku no Hero Academia 3rd Season,,25
75440,6,Boku no Hero Academia 3rd Season,,25
28328,5,Boku no Hero Academia 3rd Season,,25
8999,4,Boku no Hero Academia 3rd Season,,25
3328,3,Boku no Hero Academia 3rd Season,,25
1608,2,Boku no Hero Academia 3rd Season,,25
2958,1,Boku no Hero Academia 3rd Season,,25
138613,10,Mirai Nikki (TV),,29
191644,9,Mirai Nikki (TV),,29
268035,8,Mirai Nikki (TV),,29
237581,7,Mirai Nikki (TV),,29
127567,6,Mirai Nikki (TV),,29
64477,5,Mirai Nikki (TV),,29
41597,4,Mirai Nikki (TV),,29
21015,3,Mirai Nikki (TV),,29
12190,2,Mirai Nikki (TV),,29
9815,1,Mirai Nikki (TV),,29
346699,10,Shingeki no Kyojin Season 3,,20
430809,9,Shingeki no Kyojin Season 3,,20
363588,8,Shingeki no Kyojin Season 3,,20
132792,7,Shingeki no Kyojin Season 3,,20
33609,6,Shingeki no Kyojin Season 3,,20
10662,5,Shingeki no Kyojin Season 3,,20
4280,4,Shingeki no Kyojin Season 3,,20
1658,3,Shingeki no Kyojin Season 3,,20
823,2,Shingeki no Kyojin Season 3,,20
2899,1,Shingeki no Kyojin Season 3,,20
449416,10,One Piece,163811,26
225909,9,One Piece,163811,26
183220,8,One Piece,163811,26
107550,7,One Piece,163811,26
43871,6,One Piece,163811,26
23359,5,One Piece,163811,26
10001,4,One Piece,163811,26
4597,3,One Piece,163811,26
3337,2,One Piece,163811,26
9345,1,One Piece,163811,26
140849,10,Nanatsu no Taizai,,31
227759,9,Nanatsu no Taizai,,31
351003,8,Nanatsu no Taizai,,31
269580,7,Nanatsu no Taizai,,31
109088,6,Nanatsu no Taizai,,31
51531,5,Nanatsu no Taizai,,31
25308,4,Nanatsu no Taizai,,31
12021,3,Nanatsu no Taizai,,31
6475,2,Nanatsu no Taizai,,31
7140,1,Nanatsu no Taizai,,31
132486,10,Akame ga Kill!,25960,28
193200,9,Akame ga Kill!,25960,28
297485,8,Akame ga Kill!,25960,28
266528,7,Akame ga Kill!,25960,28
132809,6,Akame ga Kill!,25960,28
67056,5,Akame ga Kill!,25960,28
39646,4,Akame ga Kill!,25960,28
17126,3,Akame ga Kill!,25960,28
8535,2,Akame ga Kill!,25960,28
5811,1,Akame ga Kill!,25960,28
245988,10,Boku dake ga Inai Machi,,32
339935,9,Boku dake ga Inai Machi,,32
329324,8,Boku dake ga Inai Machi,,32
173435,7,Boku dake ga Inai Machi,,32
60479,6,Boku dake ga Inai Machi,,32
22253,5,Boku dake ga Inai Machi,,32
10687,4,Boku dake ga Inai Machi,,32
4536,3,Boku dake ga Inai Machi,,32
1954,2,Boku dake ga Inai Machi,,32
2379,1,Boku dake ga Inai Machi,,32
99030,10,Sword Art Online II,,33
120938,9,Sword Art Online II,,33
209109,8,Sword Art Online II,,33
279434,7,Sword Art Online II,,33
198427,6,Sword Art Online II,,33
125804,5,Sword Art Online II,,33
80813,4,Sword Art Online II,,33
43555,3,Sword Art Online II,,33
26670,2,Sword Art Online II,,33
20310,1,Sword Art Online II,,33
91257,10,Ao no Exorcist,,34
154892,9,Ao no Exorcist,,34
295363,8,Ao no Exorcist,,34
301953,7,Ao no Exorcist,,34
127928,6,Ao no Exorcist,,34
52776,5,Ao no Exorcist,,34
17599,4,Ao no Exorcist,,34
5898,3,Ao no Exorcist,,34
2401,2,Ao no Exorcist,,34
1890,1,Ao no Exorcist,,34
569352,10,Shingeki no Kyojin Season 3 Part 2,,30
416732,9,Shingeki no Kyojin Season 3 Part 2,,30
202413,8,Shingeki no Kyojin Season 3 Part 2,,30
63417,7,Shingeki no Kyojin Season 3 Part 2,,30
16413,6,Shingeki no Kyojin Season 3 Part 2,,30
5936,5,Shingeki no Kyojin Season 3 Part 2,,30
2288,4,Shingeki no Kyojin Season 3 Part 2,,30
1168,3,Shingeki no Kyojin Season 3 Part 2,,30
839,2,Shingeki no Kyojin Season 3 Part 2,,30
10219,1,Shingeki no Kyojin Season 3 Part 2,,30
147199,10,Ansatsu Kyoushitsu,,35
237079,9,Ansatsu Kyoushitsu,,35
343059,8,Ansatsu Kyoushitsu,,35
197363,7,Ansatsu Kyoushitsu,,35
60922,6,Ansatsu Kyoushitsu,,35
23487,5,Ansatsu Kyoushitsu,,35
8483,4,Ansatsu Kyoushitsu,,35
3090,3,Ansatsu Kyoushitsu,,35
1475,2,Ansatsu Kyoushitsu,,35
1573,1,Ansatsu Kyoushitsu,,35
188604,10,Mob Psycho 100,38137,36
351559,9,Mob Psycho 100,38137,36
346357,8,Mob Psycho 100,38137,36
123934,7,Mob Psycho 100,38137,36
28540,6,Mob Psycho 100,38137,36
9670,5,Mob Psycho 100,38137,36
3459,4,Mob Psycho 100,38137,36
1298,3,Mob Psycho 100,38137,36
722,2,Mob Psycho 100,38137,36
1414,1,Mob Psycho 100,38137,36
168489,10,Kono Subarashii Sekai ni Shukufuku wo!,,37
277331,9,Kono Subarashii Sekai ni Shukufuku wo!,,37
366409,8,Kono Subarashii Sekai ni Shukufuku wo!,,37
192362,7,Kono Subarashii Sekai ni Shukufuku wo!,,37
61624,6,Kono Subarashii Sekai ni Shukufuku wo!,,37
23635,5,Kono Subarashii Sekai ni Shukufuku wo!,,37
9939,4,Kono Subarashii Sekai ni Shukufuku wo!,,37
3979,3,Kono Subarashii Sekai ni Shukufuku wo!,,37
2266,2,Kono Subarashii Sekai ni Shukufuku wo!,,37
2606,1,Kono Subarashii Sekai ni Shukufuku wo!,,37
226093,10,Haikyuu!!,,38
305764,9,Haikyuu!!,,38
320195,8,Haikyuu!!,,38
141411,7,Haikyuu!!,,38
37220,6,Haikyuu!!,,38
15104,5,Haikyuu!!,,38
4743,4,Haikyuu!!,,38
1935,3,Haikyuu!!,,38
1159,2,Haikyuu!!,,38
2479,1,Haikyuu!!,,38
292792,10,Jujutsu Kaisen (TV),,27
430232,9,Jujutsu Kaisen (TV),,27
319445,8,Jujutsu Kaisen (TV),,27
104918,7,Jujutsu Kaisen (TV),,27
24944,6,Jujutsu Kaisen (TV),,27
9144,5,Jujutsu Kaisen (TV),,27
2932,4,Jujutsu Kaisen (TV),,27
1189,3,Jujutsu Kaisen (TV),,27
665,2,Jujutsu Kaisen (TV),,27
2284,1,Jujutsu Kaisen (TV),,27
230931,10,Yakusoku no Neverland,,39
374008,9,Yakusoku no Neverland,,39
326308,8,Yakusoku no Neverland,,39
119534,7,Yakusoku no Neverland,,39
30916,6,Yakusoku no Neverland,,39
10788,5,Yakusoku no Neverland,,39
4323,4,Yakusoku no Neverland,,39
1577,3,Yakusoku no Neverland,,39
832,2,Yakusoku no Neverland,,39
1691,1,Yakusoku no Neverland,,39
149927,10,Bleach,,40
172522,9,Bleach,,40
243123,8,Bleach,,40
214554,7,Bleach,,40
96780,6,Bleach,,40
48721,5,Bleach,,40
19632,4,Bleach,,40
7740,3,Bleach,,40
3580,2,Bleach,,40
3512,1,Bleach,,40
171439,10,Kiseijuu: Sei no Kakuritsu,,41
306795,9,Kiseijuu: Sei no Kakuritsu,,41
320131,8,Kiseijuu: Sei no Kakuritsu,,41
149101,7,Kiseijuu: Sei no Kakuritsu,,41
41733,6,Kiseijuu: Sei no Kakuritsu,,41
14681,5,Kiseijuu: Sei no Kakuritsu,,41
5192,4,Kiseijuu: Sei no Kakuritsu,,41
1712,3,Kiseijuu: Sei no Kakuritsu,,41
860,2,Kiseijuu: Sei no Kakuritsu,,41
1159,1,Kiseijuu: Sei no Kakuritsu,,41
148501,10,Fairy Tail,,45
148029,9,Fairy Tail,,45
197751,8,Fairy Tail,,45
191523,7,Fairy Tail,,45
107657,6,Fairy Tail,,45
66814,5,Fairy Tail,,45
34957,4,Fairy Tail,,45
16916,3,Fairy Tail,,45
9473,2,Fairy Tail,,45
8654,1,Fairy Tail,,45
404481,10,Sen to Chihiro no Kamikakushi,,43
327312,9,Sen to Chihiro no Kamikakushi,,43
243233,8,Sen to Chihiro no Kamikakushi,,43
104159,7,Sen to Chihiro no Kamikakushi,,43
30632,6,Sen to Chihiro no Kamikakushi,,43
10708,5,Sen to Chihiro no Kamikakushi,,43
3442,4,Sen to Chihiro no Kamikakushi,,43
1221,3,Sen to Chihiro no Kamikakushi,,43
695,2,Sen to Chihiro no Kamikakushi,,43
1505,1,Sen to Chihiro no Kamikakushi,,43
288743,10,Cowboy Bebop,,42
234369,9,Cowboy Bebop,,42
173661,8,Cowboy Bebop,,42
82223,7,Cowboy Bebop,,42
27096,6,Cowboy Bebop,,42
11493,5,Cowboy Bebop,,42
4135,4,Cowboy Bebop,,42
1703,3,Cowboy Bebop,,42
899,2,Cowboy Bebop,,42
1939,1,Cowboy Bebop,,42
121714,10,Tokyo Ghoul √A,9972,44
144501,9,Tokyo Ghoul √A,9972,44
