Votes,Score,English_Name,Favourites_count,Popularity_ranking
724745,10,Death Note,3417661,2
720142,9,Death Note,3417661,2
561650,8,Death Note,3417661,2
266634,7,Death Note,3417661,2
88920,6,Death Note,3417661,2
36174,5,Death Note,3417661,2
13440,4,Death Note,3417661,2
4795,3,Death Note,3417661,2
2875,2,Death Note,3417661,2
4782,1,Death Note,3417661,2
667701,10,Shingeki no Kyojin,,1
707816,9,Shingeki no Kyojin,,1
633111,8,Shingeki no Kyojin,,1
290789,7,Shingeki no Kyojin,,1
88536,6,Shingeki no Kyojin,,1
37659,5,Shingeki no Kyojin,,1
14203,4,Shingeki no Kyojin,,1
5645,3,Shingeki no Kyojin,,1
3360,2,Shingeki no Kyojin,,1
7717,1,Shingeki no Kyojin,,1
897939,10,Fullmetal Alchemist: Brotherhood,202424,3
515634,9,Fullmetal Alchemist: Brotherhood,202424,3
261741,8,Fullmetal Alchemist: Brotherhood,202424,3
93237,7,Fullmetal Alchemist: Brotherhood,202424,3
27407,6,Fullmetal Alchemist: Brotherhood,202424,3
12786,5,Fullmetal Alchemist: Brotherhood,202424,3
4578,4,Fullmetal Alchemist: Brotherhood,202424,3
2183,3,Fullmetal Alchemist: Brotherhood,202424,3
2673,2,Fullmetal Alchemist: Brotherhood,202424,3
26308,1,Fullmetal Alchemist: Brotherhood,202424,3
281459,10,Sword Art Online,64096,5
280012,9,Sword Art Online,64096,5
380236,8,Sword Art Online,64096,5
391394,7,Sword Art Online,64096,5
244222,6,Sword Art Online,64096,5
159061,5,Sword Art Online,64096,5
102189,4,Sword Art Online,64096,5
54438,3,Sword Art Online,64096,5
30757,2,Sword Art Online,64096,5
28434,1,Sword Art Online,64096,5
442731,10,One Punch Man,2804557,4
606727,9,One Punch Man,2804557,4
565226,8,One Punch Man,2804557,4
245156,7,One Punch Man,2804557,4
66125,6,One Punch Man,2804557,4
24408,5,One Punch Man,2804557,4
7609,4,One Punch Man,2804557,4
3014,3,One Punch Man,2804557,4
1838,2,One Punch Man,2804557,4
3326,1,One Punch Man,2804557,4
236805,10,Boku no Hero Academia,,6
390748,9,Boku no Hero Academia,,6
573588,8,Boku no Hero Academia,,6
403446,7,Boku no Hero Academia,,6
134331,6,Boku no Hero Academia,,6
53048,5,Boku no Hero Academia,,6
15953,4,Boku no Hero Academia,,6
6417,3,Boku no Hero Academia,,6
3369,2,Boku no Hero Academia,,6
5930,1,Boku no Hero Academia,,6
243949,10,Tokyo Ghoul,2496402,7
323971,9,Tokyo Ghoul,2496402,7
468610,8,Tokyo Ghoul,2496402,7
356169,7,Tokyo Ghoul,2496402,7
149984,6,Tokyo Ghoul,2496402,7
67565,5,Tokyo Ghoul,2496402,7
32096,4,Tokyo Ghoul,2496402,7
13240,3,Tokyo Ghoul,2496402,7
6694,2,Tokyo Ghoul,2496402,7
6239,1,Tokyo Ghoul,2496402,7
311704,10,Naruto,70009,8
327700,9,Naruto,70009,8
476755,8,Naruto,70009,8
383689,7,Naruto,70009,8
141122,6,Naruto,70009,8
