Votes,Score,English_Name,Favourites_count,Popularity_ranking
741546,10,Death Note,3502974,2
738331,9,Death Note,3502974,2
576458,8,Death Note,3502974,2
273454,7,Death Note,3502974,2
91037,6,Death Note,3502974,2
37016,5,Death Note,3502974,2
13837,4,Death Note,3502974,2
4910,3,Death Note,3502974,2
2944,2,Death Note,3502974,2
4910,1,Death Note,3502974,2
684838,10,Shingeki no Kyojin,,1
725380,9,Shingeki no Kyojin,,1
649778,8,Shingeki no Kyojin,,1
297961,7,Shingeki no Kyojin,,1
90614,6,Shingeki no Kyojin,,1
38407,5,Shingeki no Kyojin,,1
14532,4,Shingeki no Kyojin,,1
5777,3,Shingeki no Kyojin,,1
3460,2,Shingeki no Kyojin,,1
7961,1,Shingeki no Kyojin,,1
923972,10,Fullmetal Alchemist: Brotherhood,207677,3
527323,9,Fullmetal Alchemist: Brotherhood,207677,3
267955,8,Fullmetal Alchemist: Brotherhood,207677,3
95711,7,Fullmetal Alchemist: Brotherhood,207677,3
28292,6,Fullmetal Alchemist: Brotherhood,207677,3
13361,5,Fullmetal Alchemist: Brotherhood,207677,3
4805,4,Fullmetal Alchemist: Brotherhood,207677,3
2303,3,Fullmetal Alchemist: Brotherhood,207677,3
2836,2,Fullmetal Alchemist: Brotherhood,207677,3
33017,1,Fullmetal Alchemist: Brotherhood,207677,3
285986,10,Sword Art Online,64969,5
284720,9,Sword Art Online,64969,5
387920,8,Sword Art Online,64969,5
399995,7,Sword Art Online,64969,5
249413,6,Sword Art Online,64969,5
162175,5,Sword Art Online,64969,5
103936,4,Sword Art Online,64969,5
55326,3,Sword Art Online,64969,5
31222,2,Sword Art Online,64969,5
28922,1,Sword Art Online,64969,5
452798,10,One Punch Man,2878528,4
622416,9,One Punch Man,2878528,4
581669,8,One Punch Man,2878528,4
252252,7,One Punch Man,2878528,4
67839,6,One Punch Man,2878528,4
24933,5,One Punch Man,2878528,4
7805,4,One Punch Man,2878528,4
3077,3,One Punch Man,2878528,4
1866,2,One Punch Man,2878528,4
3402,1,One Punch Man,2878528,4
240289,10,Boku no Hero Academia,,6
396200,9,Boku no Hero Academia,,6
587100,8,Boku no Hero Academia,,6
417516,7,Boku no Hero Academia,,6
140316,6,Boku no Hero Academia,,6
55704,5,Boku no Hero Academia,,6
16824,4,Boku no Hero Academia,,6
6839,3,Boku no Hero Academia,,6
3535,2,Boku no Hero Academia,,6
6324,1,Boku no Hero Academia,,6
249222,10,Tokyo Ghoul,2555310,8
330585,9,Tokyo Ghoul,2555310,8
480039,8,Tokyo Ghoul,2555310,8
365427,7,Tokyo Ghoul,2555310,8
