hdbscan_cluster,titles,critic_rating,mal_weighted_score,rating_gap,mal_votes_total,mal_favourites,mal_popularity_rank,release_year
-1,4,8.48,8.21,-0.26,1691378.5,118521.0,14.75,2005.25
0,26,8.05,8.02,-0.03,991767.81,282071.33,55.58,2012.15
